,i_Host,Host,i_GPU,GPU,Throughput,Throughputs,Uncert,Start,tile
10,0,x1922c0s3b0n0,10,5.0,26.16676383878598,"[25.76058116 26.08174017 26.39375524 26.25834933 26.05040101 26.60149301
 26.20519321 26.2096576  26.03751355 26.20888481 26.12031671 26.19369583
 26.56854019 26.37896014 26.20424902 26.09926857 26.13029873 26.03649666
 26.27930964 26.05965054 26.35349925 26.16996081 26.13294482 26.22202847
 26.08208031 26.0403104  26.24034847 26.21412351 26.23638987 26.14447437
 26.34872538 26.21206214 26.15721138 26.40656203 26.22770235 26.38191783
 26.15285033 25.84555343 26.03785253 26.28069092 26.20510738 26.11656476
 26.26533239 26.0779993  26.17955246 26.17235806 26.21738803 26.33242048
 26.18400812 25.98389648 25.86803422 26.07816931 26.44462001 26.37617704
 26.45992644 26.14430348 26.02218391 26.13217655 26.19644056 26.10386729
 26.17021764 26.1924952  26.11835533 26.17047447 26.03802202 26.30134104
 26.23432499 26.28025925 25.90690354 26.16071837 26.24990566 26.12023143
 26.41903227 26.21515433 25.98246184 25.74483012 25.96163519 26.00315288
 26.39149138 26.37617704 26.21206214 25.78565673 26.00856332 26.12637327
 26.12347259 26.14473069 25.88887846 26.21240568 26.16687927 26.08420634
 26.06304651 26.19558277 26.40464458 26.09892799 26.23449705 26.04963758
 26.11230248 26.07451444 26.10625245 26.22039553]",0.15577944875145888,2023-09-14 14:42:53.895681,True
11,0,x1922c0s3b0n0,11,5.1,25.541174672842473,"[25.29604275 25.3927142  25.80162421 25.5921381  24.68061739 25.57258619
 25.72487885 25.57479348 25.6447244  25.45419835 25.17330245 25.50499898
 25.64119001 25.60409666 25.40860208 25.45168792 25.51752735 25.73439531
 25.8436331  25.72719525 25.76829791 25.76033231 25.48744743 25.50849592
 25.57103313 25.63576702 25.60090115 25.77842797 25.63231723 25.76962599
 25.45403637 25.40723026 25.46659578 25.44383591 25.70289382 25.14157851
 24.89396726 25.28005562 25.58125406 25.95717067 25.72429982 25.71694007
 25.20621837 25.532268   25.61688665 25.51492304 25.59393936 25.62098871
 25.31717676 25.27175029 25.13233746 25.30380379 25.34918502 25.37805369
 25.32286655 25.64431337 25.6578019  25.750548   25.77734816 25.66982192
 25.5927112  25.31413256 25.38723466 25.60934229 25.46027402 25.44553542
 25.06359888 25.40529383 25.44432146 25.70644525 25.59754264 25.45112112
 25.30700561 24.85668567 25.37378761 25.5692351  25.8216114  25.80786688
 25.43437137 25.64645085 25.4253179  25.41183048 25.74582435 25.59639603
 25.79322219 25.51231926 25.53748424 24.98360451 25.25180787 25.29540288
 25.44448332 25.10433991 25.39110232 25.40706888 25.57593816 25.54090855
 25.59705122 27.01452368 27.12167802 26.78891341]",0.3373672393085437,2023-09-14 14:42:53.896007,False
12,1,x1922c0s4b0n0,0,0.0,25.903980525757973,"[25.78873226 25.17417382 25.43663575 25.50735728 25.67377616 25.44634479
 25.52558781 25.1865378  25.6021301  25.54156091 25.33000244 25.55012615
 25.56890821 25.35529102 25.44059938 25.42523709 25.26680163 25.43485656
 25.57283142 25.50377934 25.62057845 25.53006804 25.58632667 25.34942599
 25.62172722 25.68482155 25.92562586 25.72885008 25.73795544 25.89533107
 25.99014324 25.83161661 26.08429139 26.0488742  26.12978665 26.36583252
 26.11383674 26.27887802 26.06185782 26.24293081 26.10327107 26.03607298
 26.05201284 26.09390544 26.11102407 26.26912721 26.09390544 26.29019113
 26.27326826 26.22185657 26.23389485 26.055916   26.0023077  25.7741923
 25.76381665 25.94201959 25.8701255  26.02997351 25.84555343 26.15020021
 26.25636717 26.14404716 26.14977282 26.30964479 25.86460526 26.1982421
 25.91529586 25.89231387 25.88083815 25.87723838 25.82019462 26.00391359
 25.86602691 25.94521667 25.96542703 25.92209762 25.99402787 25.87221712
 26.17518396 26.03480202 26.06058434 26.24732195 26.09994976 26.35080831
 26.10770079 26.0729848  26.00501247 26.01346847 25.86452164 26.12637327
 26.09867256 26.04005612 26.12748252 26.13772621 26.04429483 26.03302289
 26.09050143 26.17963813 26.14737971 26.09041634]",0.28745540195538316,2023-09-14 14:42:53.892113,True
13,1,x1922c0s4b0n0,1,0.1,25.71542857263285,"[25.84079486 25.07962782 25.40537451 25.64455999 25.53626149 25.50247852
 25.48363154 25.40706888 25.3638926  25.70338931 25.43744455 25.31637558
 25.42814642 25.67460012 24.64959066 25.62845784 25.56711047 25.55567624
 25.54898379 25.64965774 25.49540764 25.61065403 25.52615793 25.48298215
 25.30668539 25.31829848 25.88343396 25.58215389 25.68729571 25.82702992
 25.83645524 25.58362648 25.74980205 25.82744683 25.97571271 25.91336514
 25.92781049 25.89139208 25.97056885 25.89214626 25.72876733 25.45274062
 25.62279404 25.7788433  25.89843282 25.95818137 25.95750756 25.87020916
 25.84346613 25.7659741  25.77552099 25.65319446 25.71892431 25.47770701
 25.59893508 25.58436284 25.64143656 25.78715284 25.6109     25.75718062
 25.76755092 25.65204286 25.94361803 25.71867626 25.47227184 25.76414854
 25.58329922 25.60819462 25.78058786 25.82202813 25.68259523 25.76896193
 25.82928136 25.85683073 25.98043673 25.69884805 25.90103216 25.9933522
 25.99453465 25.7421792  25.85148323 26.11196156 25.81402928 25.77826184
 25.74864176 25.67492971 25.72570609 25.48395626 25.44181298 25.68135854
 25.81711158 25.74532722 25.99183207 25.68911039 25.75676598 25.87774061
 25.85348828 25.65048014 25.89918741 28.19542247]",0.32825736687585316,2023-09-14 14:42:53.891916,False
14,1,x1922c0s4b0n0,2,1.0,25.460345525899726,"[25.16134714 24.97362161 24.97572672 25.17251036 25.22982796 24.54130762
 25.1587359  25.1406304  25.41594787 25.28021539 25.21130223 25.19685039
 25.23922049 25.29044495 25.25874426 25.22775937 25.15327779 25.35545174
 25.33995128 25.17924475 24.99570386 25.21424226 25.18407988 25.06579772
 25.24113169 25.22473664 25.72264557 25.73224314 25.73133272 25.64990445
 24.3973102  25.54302883 25.52656518 25.75436134 25.68539881 25.65294768
 26.01854472 25.92671813 25.93445068 25.61696868 25.54751518 25.56523129
 25.48801585 25.61795306 25.42103591 25.5927112  25.81552869 25.63001788
 25.64127219 25.63617777 25.80844969 25.69983873 25.78864913 25.70908881
 25.70074693 25.54001162 25.6034411  25.39424566 25.02807838 25.48119647
 25.35882741 25.46043607 25.44537355 25.73778983 25.77801264 25.87732209
 25.95548634 25.83895869 25.92865084 25.55363548 25.39803483 25.29028505
 25.63823173 25.46821726 25.44262212 25.38594571 25.64225844 25.41344498
 25.65154935 25.33938945 25.45241671 25.34685588 25.64176531 25.34003155
 25.55649263 25.64661529 25.30604498 25.43857697 25.47762587 25.55943207
 25.46602832 25.29524291 25.57364891 25.56800931 25.61319592 25.49427016
 25.40997405 25.6495755  25.26751987 25.29732259]",0.27548309733537113,2023-09-14 14:42:53.894658,True
15,1,x1922c0s4b0n0,3,1.1,25.34511985933588,"[25.46238092 25.15747004 25.01391399 25.05386581 24.64609744 25.07231797
 25.2756627  25.14221063 25.26345042 25.26360998 25.33088468 25.22433896
 25.26576426 25.22879362 25.2635302  25.35352319 25.03332561 25.39440688
 25.3229467  25.17995801 24.99742214 25.08686326 25.24718573 25.01438327
 25.20883948 24.98157609 24.83199603 25.4963827  25.60753886 25.50857726
 25.75071378 25.50817059 25.31429277 25.28165342 25.38441524 25.45687129
 25.62131694 25.56539468 25.42903551 25.41223408 25.15509689 25.30324356
 25.11490067 25.33778434 25.16403807 25.40464842 25.46975785 25.52298185
 25.44084209 25.57618346 25.58714502 25.6531122  25.19010659 25.40731095
 25.33521658 25.28437015 25.19296235 25.31245056 25.10922513 25.06556211
 25.10213431 25.16435469 25.16839227 25.31197003 25.36968386 25.41287988
 25.42749984 25.37829521 25.07939195 25.21519594 25.21217622 25.22219175
 25.53186057 25.45217377 25.53984855 25.42749984 25.35947049 25.34838182
 25.46724435 25.33906841 25.45832949 25.42386347 25.61934773 25.26656223
 25.56563978 25.51313289 25.54123473 25.41223408 25.49597642 25.36349052
 25.48696023 25.44165116 25.5613104  25.40432572 25.50589346 25.48030373
 25.43089472 25.25914302 25.34958664 27.12213777]",0.2589117988603761,2023-09-14 14:42:53.890804,False
16,1,x1922c0s4b0n0,4,2.0,25.782238005111495,"[26.18572223 25.92562586 25.82277827 25.76962599 25.81711158 25.69802254
 25.61073602 25.77751427 25.71379899 25.92545783 25.74292472 25.83453625
 25.82903119 25.90908502 25.58788158 25.71528677 25.68911039 25.63798524
 25.86669598 25.95001379 26.0886296  25.9855845  25.85733217 25.5801907
 25.73638224 25.72165313 25.74433303 25.75684891 25.78474252 25.79430333
 25.94361803 25.90665186 25.7112371  25.7307534  25.57904565 25.67542413
 25.63839606 25.67682506 25.72909832 25.70561925 25.80828317 25.77394319
 25.84413403 25.78291431 25.99951901 25.86176241 25.87188244 25.68292503
 25.76215732 25.80470355 25.86025763 26.03361591 26.02836441 25.84997964
 25.73795544 25.58469012 25.59484008 25.47941104 25.72645065 25.70842787
 25.90765863 25.8803358  25.83712278 25.8382076  25.76224028 25.75427843
 25.84029406 25.81194706 26.0433622  25.9101759  25.68944036 25.80195708
 25.82236152 25.72181853 25.68069903 25.64069691 25.8639363  26.0582924
 26.008056   25.9835589  25.52672808 25.85766647 25.63642423 25.62911467
 25.74880751 25.68977033 25.7424277  25.7829974  25.73025685 25.84864327
 25.36735095 25.77377711 25.81144738 25.69983873 25.72272828 25.63174235
 25.76688697 25.78756846 25.74309039 25.71826286]",0.13356602935395767,2023-09-14 14:42:53.892694,True
17,1,x1922c0s4b0n0,5,2.1,25.382575825507118,"[25.28796672 25.18138466 25.39811546 25.39730916 25.32615337 25.19256567
 25.26265264 25.25252525 25.53756576 25.43558438 25.51695761 25.47657111
 25.39150527 25.27422534 25.22258935 25.33529682 25.24176882 24.98906728
 25.40642338 25.47657111 25.07538287 25.1386554  25.24917782 25.21535489
 25.3130913  25.3324087  25.56523129 25.46003093 25.62361472 25.60311334
 25.69818764 25.39134409 25.30420398 25.36751183 25.45865356 25.33160656
 25.27510371 25.25651144 25.26416846 25.35521065 25.46675792 25.55453337
 25.49467639 25.45581825 25.20598012 25.34822119 25.23794651 25.24622963
 25.24782316 25.51427205 25.40053468 25.50345412 25.36719008 25.25922277
 25.18019578 24.90156102 25.32342765 25.28021539 25.31725688 25.44504982
 25.49670774 25.44059938 25.3547285  25.29748258 25.33946971 25.19597746
 25.4979267  25.36638573 25.43057136 25.30876696 25.41425231 25.29300364
 25.31076878 25.15051008 25.16482963 25.09378803 25.38465688 25.26273242
 25.4796545  25.01148965 25.15391049 25.34806056 25.41045831 25.40787581
 25.51044812 25.54506789 25.60204816 25.60917833 25.52306328 25.55388036
 25.52273757 25.59983616 25.31741712 25.37555826 25.30780619 24.05363962
 25.36397301 25.40529383 27.40523783 27.31606048]",0.34287994684171097,2023-09-14 14:42:53.892325,False
18,1,x1922c0s4b0n0,6,3.0,25.49502694546797,"[24.95858435 25.13699663 25.75046512 25.80079208 25.79987681 25.6962066
 25.43687839 25.64250502 25.70396741 25.78673724 25.64883538 25.64094346
 25.48079067 25.39368142 25.44942087 25.5823175  25.52371472 25.89767827
 25.78565673 25.46700113 25.37837572 25.46116536 25.27119147 25.37579973
 25.58329922 25.59795216 25.5663751  25.77469054 25.55061577 25.56220883
 25.64908208 25.53218651 25.3411553  25.2378669  25.33232848 25.5355279
 25.01281907 25.40779511 25.55673755 25.60557177 25.56033037 25.64636863
 25.28085449 25.61926569 25.31685628 25.38151591 25.51109892 25.63272787
 25.62328644 25.77967402 25.47932989 25.71247666 25.52518059 25.17837304
 25.05621989 25.06980373 25.51850411 25.64291598 25.64653307 25.77062214
 25.58927298 25.60049153 25.63856039 25.44019487 25.44723516 25.17837304
 25.44229846 25.71470817 25.66521017 25.54482318 25.66232866 25.35368389
 25.41594787 25.39811546 25.3370621  25.79646588 25.77676676 25.86176241
 25.73340196 25.60090115 25.34806056 25.25117023 25.17591672 25.47162302
 25.51183111 25.4000508  25.40658475 25.55845218 25.57037927 25.09725185
 25.51012274 25.59615034 25.44165116 25.51044812 25.393359   25.42523709
 25.50670667 25.24105205 25.03606758 24.98524309]",0.20684442169221254,2023-09-14 14:42:53.893148,True
19,1,x1922c0s4b0n0,7,3.1,25.11398599946962,"[24.78000006 24.79144199 25.43914321 25.29276374 25.00281282 25.02486846
 24.95056669 25.06556211 25.11442761 25.13747054 25.09922036 24.98750625
 24.96972421 24.77539555 24.94675427 24.81959259 25.13905037 25.02494674
 24.906135   24.88606847 24.99601626 25.17045115 25.02674734 25.27294784
 25.38191856 25.29132444 25.40682681 25.31525402 25.34324254 25.0339523
 25.12870609 24.87562189 25.01626057 24.77516537 25.08175083 25.23523975
 25.05629837 25.12128872 25.33938945 25.01188064 25.21885235 25.18915481
 25.18661709 24.81243351 24.93921067 25.03786978 25.07027511 25.23261315
 25.24081313 25.06155745 25.22847538 24.81412668 24.89729864 24.64488264
 24.74612027 25.12128872 25.20820401 25.26249309 25.29196411 25.36075676
 25.24455664 25.16704627 24.99164342 24.85992983 24.86835316 25.00242211
 25.33946971 25.09882663 25.10339461 25.07121793 24.91334826 24.87956734
 24.86912622 24.63114855 25.14995662 25.13596989 25.36067637 25.19082047
 24.68587228 24.80574005 24.96403619 25.14466037 25.39150527 25.29372336
 25.22219175 25.07632607 25.25188758 25.22290744 25.32278639 25.21980637
 25.36059597 25.04304273 25.08505401 25.04461071 25.06768274 24.84425756
 24.83793249 24.6660829  27.22690563 27.14477667]",0.3519931031077415,2023-09-14 14:42:53.890433,False
