,Rank,Throughput,Throughputs,Uncert,Start
10,10,18.312948199881404,"[18.39461038 17.3877512  19.1525935  18.5264952  18.06125928 18.50254294
 18.04862751 18.4402329  18.19695474 18.65723854 18.57730364 18.50378402
 18.72742467 18.1874811  18.30500253 18.56717138 18.52525108 18.01773395
 17.99273094 18.45218462 18.16262359 18.16996641 17.90105639 18.23511445
 18.24867469 18.29131665 18.13109233 18.16414942 18.3854369  18.23224692
 18.77841703 18.30630103 18.22792655 18.59950386 18.3900859  18.26450658
 17.5080756  19.09918685 18.07317376 18.48548427 18.35708664 18.34605709
 18.36990092 18.35813977 18.12640905 18.10241441 18.29361713 18.06468512
 18.33756243 18.2712226  18.32407967 18.33546101 18.47370268 18.29604371
 18.15096155 18.22522736 18.13919108 18.21692717 18.49518547 18.43487879
 18.5551994  18.34614123 17.5407054  19.20127496 18.5066948  18.28433512
 17.48289954 19.33389885 18.2429736  18.11065155 18.52619488 17.91324169
 18.43190563 18.61959014 18.29667138 18.55890131 18.12587514 18.2738102
 17.41151685 19.57890666 18.13528469 18.02150867 18.19757563 18.26888603
 17.98549021 18.59660705 18.27076358 18.42698079 18.30827007 18.48659491
 17.66491858 18.51890433 18.33848721 18.48843202 18.20051507 18.29842908
 18.39236901 18.23548854 18.31476674 18.20569246]",0.3432607114776966,2023-09-14 14:54:38.253054
11,11,18.312366962791263,"[18.46722068 17.48652991 18.28450228 19.58523371 17.91444509 18.63034371
 17.97486216 18.3130059  18.26250525 18.36370231 18.92022288 18.51560403
 18.70150758 18.27556352 17.96836221 18.79209135 18.56450003 18.11647535
 17.98824019 18.34988646 18.11540874 18.17190623 18.1180755  18.14667961
 18.13166764 18.22169885 18.3139282  18.20842732 18.23735923 18.28826419
 18.66590136 18.37601929 18.17562195 18.60854597 18.51560403 18.17269053
 18.32097431 18.22115932 18.0481389  18.46564352 18.39152335 18.50361283
 18.15302089 18.39194617 18.36037281 17.91348236 18.40472449 17.95199189
 18.31547956 18.26475678 18.25667053 18.39304559 18.45495146 18.25396282
 18.19525786 18.36766556 18.00208374 18.37255875 18.47084493 18.35632846
 18.40015272 18.3581819  17.82725832 18.22265349 19.34755217 18.25387952
 18.41196778 18.34386959 18.18574465 18.19074819 18.45461088 17.88612797
 18.4538872  18.65632484 18.31262862 18.50862155 18.09614937 18.39313017
 18.24022837 18.52859773 18.04720246 18.2010948  18.15598716 18.45397233
 17.84618817 18.56889524 18.23590422 18.46479111 18.27898762 18.56549093
 17.57168148 18.48304989 18.37770784 18.48535613 18.18549661 18.27543827
 18.51144817 18.15417433 18.31149687 18.21721755]",0.28321139106409043,2023-09-14 14:54:38.253092
12,12,18.309251560719765,"[18.30269919 18.26796826 18.38835282 18.38822602 18.07137742 18.51076285
 18.06635773 18.29470483 18.34508948 18.3859862  18.85089648 18.50404082
 18.62821802 18.28400081 18.35531765 18.38269086 18.38531014 18.35755
 17.87154381 18.46125444 18.07970892 18.23623677 18.06325753 18.21108008
 17.66519162 18.83137212 18.14334604 18.3607942  18.22394033 18.23137437
 18.69678719 18.35860319 18.03621672 18.6809389  18.5373992  17.88081098
 18.60508384 18.08637147 18.26600787 18.46709279 18.36897297 18.4149769
 18.32936961 18.15738824 18.38079024 17.94277153 18.31124539 18.04032464
 18.33306598 18.33243581 18.03926697 18.50117367 18.42320403 18.39858699
 18.1661705  18.21261406 18.14882033 18.42218584 18.35422273 18.49155167
 18.51204787 18.3145571  18.43921283 18.34769805 18.42638659 18.24680168
 18.2834158  18.58623782 18.09807346 18.14260541 17.6196706  18.86245264
 18.3797345  18.61123002 18.27606452 18.61352505 17.99366173 18.51543261
 18.17739777 18.52224869 18.24338962 17.9113968  18.38209951 18.29955921
 17.94575    18.49210734 18.26137969 18.40180338 18.46138225 18.45972089
 17.62704694 18.36180561 18.44235841 18.44618556 18.27664907 18.28968576
 18.28529634 18.02361995 18.62409819 18.18826675]",0.23337915081884913,2023-09-14 14:54:38.252962
13,13,18.310585572241145,"[18.41650303 18.2095878  18.25392117 18.41667261 18.1005713  18.33537696
 18.18123969 18.3792278  18.2530049  18.51577544 18.70544305 18.58554695
 18.61621053 18.31338319 18.2589623  18.28721906 18.66150365 18.09115682
 17.9783361  18.42884852 18.1390677  18.23208071 18.1336815  18.08265128
 18.13865642 18.25038155 18.2097536  18.38159267 18.21564132 18.25971246
 18.62414154 18.43526112 18.19741005 18.54216837 17.3910397  19.27971003
 18.36551507 18.18553795 18.17430063 18.4839894  18.40455513 18.31438939
 18.37361365 18.20105339 18.35211749 17.98888736 18.38729622 18.01777453
 18.31434746 18.2721407  18.30579836 18.31740864 18.40002576 18.40396237
 18.03178553 18.30827007 18.1203326  18.44750417 17.35327803 19.52862775
 18.52967064 18.39494875 18.51560403 18.19385093 18.37728567 18.34597294
 18.3152699  18.48689395 18.11676253 18.13162654 18.58908821 17.83210626
 18.57980607 18.48266557 18.29566713 18.49912014 18.10323369 18.48680851
 18.28182809 18.49634004 18.0736229  18.01497495 18.33424241 18.37133521
 17.94679672 18.39422973 18.37099771 17.29625017 19.56731769 18.56389693
 17.55267448 18.52782532 18.33915984 18.44427179 18.20523674 18.34875011
 18.3607942  18.22294405 18.42562267 18.08911149]",0.3196030189158995,2023-09-14 14:54:38.252988
14,14,18.31600474781897,"[18.31451517 18.16476807 18.4596357  18.36614752 18.03967375 18.51838992
 18.03288296 18.35342268 18.25917067 18.60897883 18.62375134 17.57905631
 19.74270322 18.32147781 18.22414791 18.45529205 18.60456463 18.13343488
 17.91111609 18.50883566 18.03377726 18.29688061 18.08833438 18.04374254
 18.22348369 18.29662953 18.15339162 18.32298848 17.29834455 19.38411811
 18.59790402 17.46602857 19.21321869 18.52366398 18.47754286 18.07901433
 18.44291112 18.15429792 18.08706662 18.5022434  17.55186576 19.30413422
 18.38366244 18.1971617  18.33067157 18.06811227 18.31417975 18.06803065
 18.33848721 18.25333808 18.29319882 18.26279708 18.38780337 18.47101551
 18.13993143 18.30370421 18.09348906 18.38311327 18.30831197 18.45316356
 18.453121   18.38662006 17.59858507 19.23909384 18.43504871 18.25854557
 18.28985302 18.6306908  18.09537166 18.10843785 17.57662309 18.80300096
 18.51024889 18.64358591 18.22987877 18.59959034 17.12574363 19.44905684
 17.42589095 19.46017475 18.17516772 17.97005739 18.36791859 18.25567067
 18.06011762 18.36374446 18.32706013 18.35232799 18.39173475 18.58744697
 17.57268502 18.4258773  18.33008356 18.51911868 18.3339903  18.21671976
 17.42114753 19.27887373 18.31493446 18.20291702]",0.4420987016932496,2023-09-14 14:54:38.253009
15,15,18.313630227485078,"[18.43874534 18.2253104  18.2898112  18.38780337 18.12735372 18.31715699
 18.10323369 18.47088757 18.22290254 18.43075909 18.77224805 18.58662646
 18.62479193 18.28847323 18.26880259 18.34828719 18.55390838 18.20432535
 17.80274118 18.4458453  17.1941325  19.45350248 17.07960162 19.30720907
 18.04366115 18.12550553 18.41332388 18.28153565 18.24721787 18.28416797
 18.65532423 18.41573993 18.16419066 18.64897501 18.37158834 18.14540366
 18.33831906 18.20362116 18.10946265 18.52070499 18.42855135 18.36197419
 18.27882056 18.24967379 18.28834781 18.0871484  18.19232011 18.18148761
 18.30856337 18.22194788 18.3607942  18.26279708 18.41493451 18.37226339
 18.165923   17.29426846 19.18161634 18.42108293 18.42422233 18.3517386
 18.50425482 18.38687361 18.48193968 18.24447136 17.37487376 19.4712106
 18.30282481 18.534307   18.0947168  18.19604418 18.44444188 17.87561699
 18.5478     18.59500771 18.26517379 18.53937532 18.12029156 18.37028056
 18.33041956 18.41167116 18.165923   17.98710774 18.29395179 18.39084688
 17.97171252 18.44308119 18.30073134 18.38556366 18.35186489 18.54092213
 17.56975192 17.3840484  19.57823585 18.47528123 18.25146411 18.3035367
 18.34008478 18.24950726 18.39537172 18.1307636 ]",0.38354142959265203,2023-09-14 14:54:38.252966
16,16,18.311446408409747,"[18.45218462 18.23598735 18.34071547 18.39727536 18.1255466  18.36399738
 18.12640905 18.38201504 18.23324422 18.50215781 17.66214957 19.77540088
 18.64297766 18.29700615 18.3115807  18.28880771 18.47361737 18.30609158
 17.89392926 18.50104531 18.10925768 18.19145138 18.16625301 18.05441148
 18.13631252 18.31371858 18.15639922 18.34117801 18.21137027 18.29763389
 18.65375827 18.44138061 18.16691306 18.58131649 18.45261024 18.12000426
 18.38547915 18.12718942 18.1373816  18.53593887 18.36155274 18.40624892
 18.30894048 18.27598102 18.29964293 18.04170792 18.29064753 18.00945947
 18.38188833 18.23814919 17.23361675 19.54212794 18.35717088 18.39059321
 18.16249989 18.29035481 18.11126657 18.34761389 18.4212526  18.46722068
 18.45763396 18.38091693 18.48304989 18.18607538 18.28420976 18.54199646
 18.22663914 18.51959025 18.12148188 18.1932303  18.50147318 17.85929554
 18.49386004 18.56204479 18.37403565 18.47762821 18.06256421 18.4119254
 18.37386685 18.40904436 18.18359521 17.95489282 18.38315551 18.24559483
 18.02142748 18.46210653 18.26450658 18.35535977 18.44414421 18.51059153
 17.60067587 18.42490125 18.3795656  18.55313386 18.19976977 18.2942028
 18.3092338  18.2610879  18.37745454 18.16864591]",0.287608236703753,2023-09-14 14:54:38.253092
17,17,18.31157723408135,"[18.1453625  18.4832207  18.05119318 18.63164538 18.10311079 18.25933737
 18.12653226 18.43849035 18.25846223 18.43131111 18.76419042 18.22165735
 19.02003999 18.09062499 18.51444705 18.26175486 18.39782538 18.22178186
 17.99006049 18.22908953 18.21298723 18.51586115 17.96412564 18.0073515
 18.37112427 18.24393047 17.95448986 18.35557034 18.46683702 18.14659729
 18.85174049 18.37775006 18.18710898 18.52207716 18.41586711 18.17987624
 18.25429603 18.08453162 18.15388595 18.43874534 18.5870583  18.49954792
 17.8162609  18.65867453 18.3584768  18.1082739  18.13956125 18.17000768
 17.9391504  18.53602476 18.24106017 18.4379379  18.22086882 18.16431439
 18.57842534 18.24314001 18.09398013 18.18012412 18.60659836 18.03011931
 18.87687323 18.38243742 18.52821152 18.17628268 18.51217638 17.2424198
 19.49407989 18.49835018 17.78303365 18.6234045  18.27627329 17.98633938
 18.50438323 18.61803017 18.19885893 18.64150064 18.07035693 18.22132533
 18.42664124 18.49005582 17.20282126 19.01113577 17.33139799 19.45473249
 17.95968948 18.44576024 18.21680272 18.21991437 18.6350306  18.60144998
 17.41780971 18.68285848 17.87693518 18.98731173 18.27919645 18.18702628
 18.31531183 18.2455116  18.40277698 18.17871954]",0.3625175112063458,2023-09-14 14:54:38.252977
18,18,18.3147445972228,"[18.11910138 18.59496448 18.23806604 18.39477956 17.76601273 18.72992386
 18.15326804 18.45882643 18.05485969 18.60785344 18.66180838 17.76254146
 19.40000631 18.23964615 18.4916799  18.58058283 18.20337263 18.35380165
 17.98569238 18.46078583 18.12825742 18.11348096 18.16637676 18.09623123
 18.13581915 18.34618331 18.12193343 18.39194617 18.08187473 18.36631618
 18.68281485 18.42371316 17.77588168 18.97546709 18.4889875  17.89280866
 18.6275674  18.06178938 18.20324837 18.36184775 17.65104329 19.26044699
 18.33958025 18.41112032 18.21551689 17.98472198 18.38843735 18.0374367
 18.28872409 18.24838331 18.35607575 17.45337766 19.16507357 18.57260263
 18.0630536  18.30667805 18.1445394  18.38057908 18.38028347 18.38771884
 18.36007785 18.50215781 18.53847313 18.21871107 17.55444621 19.29910476
 18.39329932 18.37931225 18.19244422 17.94031705 18.65528073 17.71765587
 18.67884527 18.60266111 18.27873703 18.56010691 17.80000801 18.75178728
 18.21933345 17.58960806 19.13381232 17.80016643 18.22626542 18.58835393
 17.9506626  18.53662606 18.17888477 18.38155044 18.25083954 18.73062551
 17.59606904 17.61963179 19.3457275  18.37749676 18.20971215 18.12875039
 18.58796522 18.28178631 18.17091563 18.41073898]",0.3814720509739684,2023-09-14 14:54:38.252950
19,19,18.315456834105653,"[18.40298865 18.31577309 18.31833138 17.31178305 19.22416093 18.39435661
 18.09758216 18.44682357 18.30441617 18.63481356 18.4128577  18.67775503
 18.64532399 18.27355976 18.28107612 18.51243341 18.45848571 18.15590475
 17.974741   18.47220971 18.08175212 18.16023227 18.15561633 18.16893476
 18.10774106 18.31631824 18.10552807 18.33218375 17.33800882 19.28366023
 18.6183768  18.49450135 18.17475481 18.50553894 18.58045336 18.12332926
 18.29374263 18.14960264 18.11196363 18.48428835 18.46078583 18.30688751
 18.38095916 18.34572052 18.20801289 18.01663837 18.34736142 17.98209433
 18.30898239 18.31568922 18.3127963  18.31828944 17.47579602 19.40527678
 18.15784158 18.20507102 18.22028783 18.33096558 18.35557034 18.4201498
 18.64254322 18.27030459 18.49005582 18.28086724 18.3760615  18.36231136
 18.26492358 18.51693258 18.15961393 18.13265396 17.42513183 17.891088
 19.69201686 17.45931978 19.53783257 18.57738992 18.03020059 18.37150396
 18.23469881 17.49708564 19.30758185 18.08289652 18.25492084 18.28985302
 17.9211871  18.58373366 18.13466804 18.42757502 18.45597328 18.50999193
 17.59336027 18.48407481 18.28446049 18.51628971 18.21389948 18.36973219
 18.30718076 18.27694135 18.32353406 18.2182132 ]",0.39158302228260394,2023-09-14 14:54:38.253125
