,Rank,Throughput,Throughputs,Uncert,Start
10,10,21.739815834267784,"[20.94449186 21.75207528 21.81239162 21.85177395 21.9140258  21.86933618
 21.82119711 21.87699115 21.52169117 21.526324   21.6154875  21.69662156
 21.84365947 21.85786378 21.88830398 21.63887424 21.44369689 21.91942966
 21.88890287 21.62910412 21.78394142 21.81703147 21.68509448 21.41642908
 21.92369458 22.0107963  21.83805445 21.92117147 21.84980444 21.80293958
 21.76260803 21.44151291 21.85201271 21.56851644 22.03741402 21.99941702
 21.83435909 21.79141799 21.59011173 21.84157216 21.60404644 21.8070404
 21.71487822 21.74799511 21.9283218  21.74078462 21.92261318 21.76704904
 21.83668344 21.55625374 21.89890916 21.87615363 21.88405282 21.31804119
 21.92603799 21.91684748 21.83674305 21.78002717 21.50537634 21.68603501
 21.6000216  21.83793522 22.05284413 21.71965357 21.91210507 21.70138889
 21.76491713 21.96764166 21.76095052 21.43875484 21.53374068 21.92267325
 21.74397556 21.32468973 21.90292623 21.83960448 21.57666053 21.64882893
 21.37528589 21.79777118 21.77196587 21.42164765 21.67569369 21.81923311
 21.86557047 21.46124234 21.9031661  21.49780588 21.94047002 21.77498816
 21.96534966 21.73163066 21.81554412 21.62162162 21.83346524 21.65486477
 21.5604366  21.56159879 21.9979047  21.35098348]",0.19056328367194936,2023-09-14 14:51:46.861676
11,11,21.73982083958809,"[20.9357221  21.75461878 21.80507895 21.85810266 21.91888915 21.87519653
 21.80793209 21.87717063 21.53513188 21.5280039  21.6154875  21.6761048
 21.86574976 21.84741764 21.8828556  21.63764518 21.45951528 21.90958462
 21.88201763 21.62483612 21.79236777 21.83257147 21.67886554 21.40920756
 21.91306539 22.02042945 21.84789496 21.92039062 21.83841213 21.80062241
 21.76775977 21.43392991 21.89771032 21.54278667 22.01546036 22.00238176
 21.8253048  21.81381905 21.59733921 21.84479275 21.62460231 21.77486962
 21.69791619 21.75704452 21.92934365 21.73068617 21.93421381 21.76100971
 21.82191138 21.57218052 21.90676481 21.88429228 21.86533142 21.31968873
 21.92808138 21.90586502 21.85660971 21.76331847 21.51758121 21.68286105
 21.61601314 21.83638542 22.03650347 21.7171772  21.91102481 21.70515715
 21.78750106 21.94594713 21.78732305 21.42767223 21.52968405 21.92069094
 21.72690905 21.3341867  21.89669141 21.83942562 21.59430774 21.63875718
 21.38019873 21.78643304 21.76616069 21.42887756 21.66254627 21.82113759
 21.87938442 21.46953607 21.90208672 21.49913466 21.92225273 21.77261767
 21.96848621 21.72390009 21.81929262 21.62483612 21.85034155 21.64929762
 21.55869354 21.56531865 21.9837595  21.37008989]",0.18918372190632118,2023-09-14 14:51:46.861671
12,12,21.73935472863491,"[20.92301898 21.75136558 21.83930638 21.85225146 21.89040024 21.87178758
 21.86102944 21.8576249  21.53779884 21.53785682 21.59617316 21.674343
 21.87513672 21.78204343 22.02382427 21.59605656 21.45905478 21.87017318
 21.89872933 21.62606373 21.78945935 21.8282228  21.68668167 21.43088673
 21.90994465 21.98653874 21.86043207 21.93000491 21.83143946 21.78245859
 21.8114401  21.40622868 21.90688479 21.58521844 21.95341485 22.00401573
 21.82280428 21.82256617 21.59646466 21.85141584 21.61805756 21.76296325
 21.72596497 21.75041938 21.91588683 21.71641082 21.95202933 21.77386211
 21.83072456 21.56008797 21.90172695 21.89507333 21.87184738 21.28327507
 21.96643529 21.9086846  21.83632582 21.74900023 21.52794596 21.68139195
 21.61981023 21.82905666 22.05442481 21.69803389 21.90466542 21.70533381
 21.81887606 21.93427395 21.7769442  21.44283474 21.6362407  21.78821312
 21.73269331 21.31781396 21.91870899 21.84479275 21.59564848 21.62319953
 21.39289114 21.79153671 21.74043013 21.40571318 21.61992709 21.82256617
 21.87735011 21.46337275 21.91078476 21.51434065 21.91216509 21.79836512
 21.94751252 21.74397556 21.79747422 21.6154875  21.8790254  21.61840807
 21.55991365 21.56264487 21.98937913 21.38197019]",0.19042332695680697,2023-09-14 14:51:46.861832
13,13,21.740269227218363,"[20.93791385 21.6766334  21.83930638 21.91606694 21.82328053 21.87920491
 21.85517667 21.85941663 21.53948052 21.54446913 21.5925592  21.73092229
 21.81417594 21.78619572 22.02982839 21.59331687 21.50849855 21.87095046
 21.88806444 21.57654414 21.84544891 21.83406114 21.64150841 21.4723597
 21.90406567 21.93673993 21.85953609 21.93577753 21.82536435 21.78127246
 21.86276198 21.35639824 21.96438475 21.54899568 21.99409459 21.99808617
 21.78186551 21.80977514 21.65679929 21.79141799 21.61957653 21.76095052
 21.72224847 21.7588198  21.91156492 21.77184737 21.95938064 21.71399413
 21.83519342 21.60404644 21.84717898 21.89585238 21.92633847 21.23192964
 21.9689085  21.90814463 21.89429435 21.75627533 21.46273934 21.72744013
 21.58125883 21.83584901 22.0408748  21.75970755 21.8434209  21.75846472
 21.76924061 21.99203888 21.76704904 21.43915701 21.58475253 21.79118056
 21.80032537 21.25375926 21.98212853 21.8371603  21.54365687 21.66107991
 21.40743159 21.73889414 21.89016065 21.37008989 21.66653576 21.80008775
 21.83072456 21.49191501 21.89237707 21.55532443 21.86533142 21.86108917
 21.93601812 21.73517322 21.76698982 21.65633028 21.82179233 21.66055207
 21.56729535 21.5689235  21.98708259 21.37625686]",0.19370831770063157,2023-09-14 14:51:46.861838
14,14,21.740212891704854,"[20.90284618 21.75621616 21.85177395 21.83871021 21.90736471 21.848969
 21.88770513 21.82679348 21.56537679 21.54887959 21.55683459 21.67451916
 21.87501709 21.78435665 22.02261172 21.6239009  21.46268176 21.84121437
 21.89201762 21.62746688 21.78791642 21.83239272 21.7205971  21.43014042
 21.89549281 21.96209343 21.8947138  21.9028063  21.82869928 21.80394979
 21.7841787  21.40955134 21.93138765 21.60696392 21.90748469 21.9955459
 21.83447828 21.80977514 21.60328802 21.87740993 21.58428664 21.77415843
 21.71694139 21.75112902 21.92814148 21.7381853  21.95992314 21.7695368
 21.82429262 21.53177013 21.93517607 21.893815   21.86897749 21.25652642
 21.99488069 21.87567507 21.87746976 21.74976891 21.51439851 21.65726831
 21.65949647 21.8357894  22.03796039 21.67070284 21.9353565  21.66688785
 21.83757756 21.95010193 21.77901918 21.40565591 21.63934249 21.82601934
 21.70768968 21.31116972 21.95227028 21.80353381 21.60585519 21.65093816
 21.39809824 21.78317032 21.80977514 21.4146519  21.61332678 21.81488975
 21.87579471 21.49364728 21.91558664 21.52145959 21.87453858 21.83662384
 21.9236345  21.75680784 21.78079805 21.61116649 21.86939597 21.61899228
 21.56526052 21.58684929 21.99663451 21.36837747]",0.1922428407986753,2023-09-14 14:51:46.861838
15,15,21.739967780887632,"[20.90951148 21.76012186 21.81405698 21.85941663 21.91192502 21.87788856
 21.85583346 21.856968   21.51017566 21.57252954 21.55910023 21.68168575
 21.87208657 21.78192481 22.03328679 21.61846649 21.45422072 21.84914802
 21.89495349 21.64800879 21.7575179  21.83984297 21.6835663  21.45629219
 21.90034794 21.9682449  21.8874656  21.92922343 21.81197532 21.79729605
 21.81358114 21.3827703  21.9380032  21.56514426 21.94691042 21.99772324
 21.83489544 21.83269063 21.57904675 21.85499755 21.63922542 21.74172999
 21.74787686 21.71788468 21.91774817 21.74787686 21.92537698 21.80026596
 21.83006928 21.5254552  21.90730472 21.92441558 21.84109511 21.31469008
 21.96571152 21.90796464 21.80965623 21.76018104 21.54847329 21.67616354
 21.59897189 21.84037959 22.06470475 21.70256633 21.87310319 21.71275652
 21.81233215 21.93373271 21.77409916 21.43789308 21.64174259 21.79646461
 21.7372993  21.32793026 21.92555725 21.80394979 21.59955505 21.66055207
 21.36506758 21.78239928 21.86903727 21.41642908 21.61975181 21.78097595
 21.87555543 21.49786365 21.88165852 21.52394943 21.92723994 21.80597047
 21.93866498 21.74592604 21.81167797 21.607139   21.87118963 21.61332678
 21.56229617 21.53779884 22.000143   21.37111747]",0.1907968502514026,2023-09-14 14:51:46.862729
16,16,21.740208193144802,"[20.93539338 21.73062715 21.84550856 21.86580953 21.87567507 21.88028204
 21.856968   21.85231116 21.54168451 21.54719644 21.58731529 21.67780816
 21.87394048 21.78583975 22.02000517 21.59121885 21.46106962 21.86939597
 21.9040057  21.61881702 21.79426756 21.83668344 21.68632894 21.42256546
 21.9086846  21.99046713 21.85917771 21.9354768  21.82762723 21.77569941
 21.82036385 21.40090312 21.90940461 21.60369639 21.93884547 21.99578781
 21.83406114 21.80959677 21.60276299 21.85404231 21.61577952 21.76325927
 21.71935874 21.75568367 21.914446   21.71228508 21.95853679 21.77392137
 21.82875884 21.55416292 21.90700476 21.88908255 21.88201763 21.28050094
 21.96516873 21.91000466 21.84139326 21.75319908 21.51520856 21.68215586
 21.62594681 21.84324197 22.03377226 21.70233083 21.90424559 21.70144776
 21.8259598  21.92922343 21.76864825 21.44519145 21.63998637 21.78963739
 21.74539405 21.30458634 21.91834867 21.84121437 21.6067305  21.61735658
 21.39649579 21.78696704 21.84037959 21.40983782 21.61759023 21.80840769
 21.87986314 21.47178339 21.9047254  21.51821786 21.9160069  21.79634584
 21.94438196 21.7381853  21.81025082 21.61210062 21.86843947 21.61455308
 21.5689235  21.56717907 21.98696173 21.37071784]",0.1900495121229914,2023-09-14 14:51:46.861857
17,17,21.740491860912844,"[20.93150427 21.76764131 21.84330162 21.85213209 21.85308716 21.91540653
 21.82554298 21.85326624 21.56386543 21.54435309 21.57142433 21.67581115
 21.89795008 21.75674867 22.01806582 21.60375473 21.48712384 21.87441896
 21.88788478 21.62875326 21.75958918 21.84950606 21.67540005 21.45157441
 21.91102481 21.95877788 21.88914244 21.92850212 21.8282228  21.74882284
 21.84676135 21.37505745 21.93692039 21.607139   21.93343203 21.99711838
 21.80501952 21.84181069 21.60077979 21.85302746 21.6140859  21.76260803
 21.7147014  21.76882595 21.91348556 21.68244968 21.95678904 21.79331762
 21.8372199  21.54992444 21.88201763 21.89028044 21.90754468 21.2801047
 21.97494307 21.87567507 21.86837969 21.756512   21.51607654 21.67951178
 21.60042985 21.86837969 22.03814252 21.69803389 21.90448549 21.69803389
 21.80377151 21.96143024 21.75828719 21.45243727 21.64010344 21.79005284
 21.74261634 21.29942465 21.89854949 21.83882944 21.59611486 21.65439584
 21.39460749 21.78649237 21.84163179 21.38517099 21.64285502 21.81465181
 21.84294377 21.50202388 21.90160703 21.51393565 21.91474616 21.78150968
 21.96842588 21.72148173 21.82000676 21.62319953 21.87047213 21.61361874
 21.53727699 21.59815552 21.96167139 21.39506523]",0.18954916605472613,2023-09-14 14:51:46.861861
18,18,21.739907472377453,"[20.93314738 21.73104035 21.8434209  21.86043207 21.90520522 21.83823329
 21.85159489 21.87029276 21.56450483 21.53333495 21.5824815  21.66929407
 21.85977501 21.79622707 21.94775337 21.66806155 21.44881375 21.88818421
 21.85016251 21.6465444  21.78489054 21.87382086 21.69209161 21.44157038
 21.87872622 22.00062702 21.8285206  21.93391312 21.84401733 21.79141799
 21.81280794 21.39271952 21.89681128 21.6155459  21.93271044 22.00613421
 21.81548463 21.81715046 21.60702228 21.86335947 21.61210062 21.75840554
 21.73104035 21.75692618 21.91942966 21.70409719 21.95715062 21.77907847
 21.82482847 21.58521844 21.87262477 21.89207753 21.86610835 21.28661631
 21.96673687 21.91582679 21.83769678 21.77196587 21.49786365 21.69491525
 21.60037153 21.87142881 22.04117843 21.71422988 21.8878249  21.67957053
 21.83328648 21.95901898 21.75905653 21.42067256 21.66061072 21.78459394
 21.73464176 21.30594809 21.92748034 21.83453787 21.58242327 21.6505866
 21.38522815 21.77777415 21.7566895  21.4299682  21.67428427 21.84825296
 21.85816238 21.47333951 21.86658649 21.53113267 21.89369516 21.86073075
 21.89902905 21.7307452  21.81869753 21.58929603 21.85004315 21.68433036
 21.5340305  21.59355001 21.96884817 21.37031823]",0.18688852549414775,2023-09-14 14:51:46.861997
19,19,21.73990258893701,"[20.94295662 21.77540305 21.78702637 21.86294122 21.93523622 21.84908835
 21.86718419 21.84300341 21.52979993 21.53808876 21.5842284  21.69338569
 21.84348054 21.80157298 21.93914629 21.68338998 21.45445086 21.86001394
 21.85511697 21.64976632 21.79729605 21.8474773  21.72519797 21.42021372
 21.89567259 22.00522624 21.85135615 21.89705101 21.84002184 21.78423801
 21.80686207 21.40548409 21.89087944 21.65017645 21.93186865 21.96577184
 21.84258594 21.82893753 21.57334398 21.86108917 21.61268448 21.77125487
 21.75083333 21.72325121 21.91900926 21.71051739 21.98019584 21.7577546
 21.81976871 21.58958734 21.86873837 21.89489356 21.86592906 21.29007191
 21.97277024 21.90166699 21.87238557 21.73664962 21.509019   21.68286105
 21.6114584  21.85852072 22.07030496 21.70133002 21.92790106 21.63524598
 21.83459747 21.99058803 21.75663033 21.39535133 21.66231164 21.80264248
 21.73771276 21.31219164 21.91810847 21.80490065 21.59634806 21.62811005
 21.3967247  21.80323669 21.77125487 21.39546577 21.69132699 21.85159489
 21.82661483 21.50202388 21.84646306 21.53565362 21.91468613 21.83096285
 21.89004085 21.74882284 21.81019136 21.59611486 21.88357392 21.67710329
 21.52423898 21.57066821 21.96613371 21.36723601]",0.18748712760201788,2023-09-14 14:51:46.862298
