,i_Host,Host,Throughput,Throughputs,Uncert,Start
10,10,x1922c2s3b0n0,18.840687411153745,"[18.56618031 19.03040107 18.97650235 19.11470255 18.89899198 19.03529143
 19.12301838 18.59193946 19.03606144 17.67885476 19.37322765 18.45559008
 18.93038587 18.78040077 18.78220855 19.08620044 19.08538084 18.8395763
 19.15855621 18.3376465  18.92805682 18.98785252 18.79301839 19.09622348
 17.85829886 19.51171923 18.93513533 19.09275979 18.40078755 18.72286647
 18.67073689 18.6601978  19.02153237 19.03633322 18.56178639 19.18879374
 19.00503871 19.02356782 18.82450386 19.09772785 18.45891162 19.06187006
 18.67692652 18.57010214 18.99520134 18.94706427 17.49218864 19.37571448
 19.10333711 18.68285848 18.93074424 19.16204382 18.78432542 18.96691932
 18.97389192 19.03108013 17.70115146 19.18515836 18.96431154 18.17248413
 19.18994447 18.53009983 19.19956993 18.86845854 18.99908092 18.98091469
 19.0946282  19.03773756 19.15777626 18.77123496 18.11389109 18.69062805
 18.86071831 18.18330591 18.72308556 19.11904233 19.08428814 19.110593
 18.8027358  18.9183437  18.64467217 19.15034698 19.04113599 19.00025413
 18.98659072 18.92541494 18.95527976 18.99659961 18.85551724 18.86890358
 19.03633322 18.02991614 19.32670588 18.27201549 18.00609506 19.32208466
 18.65271444 19.03479322 18.76093411 19.23201746]",0.37467146184667577,2023-09-14 14:49:40.227798
11,11,x1922c2s4b0n0,18.93373058530742,"[18.98478844 18.67252361 18.99971263 18.82016392 18.98447307 19.20344126
 18.63303404 18.87990258 19.08205762 18.48480087 18.98573459 18.98231086
 18.92281855 19.04385562 18.8425493  18.97429694 19.17150348 18.94594249
 18.8720194  19.11310418 19.1964832  19.16837984 18.02244245 19.18364019
 18.6295194  19.02849994 18.82800383 17.93163117 18.87883329 19.09171181
 19.10945177 19.09312433 18.76001022 18.36492483 19.07741615 18.8983223
 19.20975856 18.84183925 19.03832653 18.65497621 18.74884284 18.63260006
 18.90372569 19.1087671  19.16649696 19.1601163  18.79703665 19.11136911
 18.99497583 19.0340686  18.91351323 18.73518749 19.18028267 18.58097123
 18.62583263 18.71861707 17.91280049 19.3341792  18.92545971 18.92783291
 18.74392287 19.08738443 19.24108356 18.86627818 18.90783612 18.90073335
 18.98695122 18.97344192 18.87714049 19.09230413 18.94212943 19.0381453
 18.98217574 19.09380788 19.17200887 18.86534389 19.04322097 19.23604065
 19.06409587 18.76815232 19.14434356 19.08861412 18.88141762 19.21889602
 18.98343695 19.10365644 18.86592225 18.71962448 18.88377978 18.81237478
 19.04716554 19.10694155 19.03415918 19.01999477 19.22314467 19.15855621
 19.19551593 18.87290983 18.89934915 19.11205397]",0.25009449913574555,2023-09-14 14:49:38.066570
12,12,x1922c2s6b0n0,18.76884254280129,"[19.1399465  19.00878681 18.82924464 18.91691219 18.63242648 18.95424682
 19.0242464  18.04443442 18.76529078 18.6234045  18.79822921 18.98807786
 18.55838468 18.62054358 18.88262091 18.78516348 18.79575592 18.70833012
 19.04290366 18.77947497 18.98988077 18.74502085 18.75402919 18.66672889
 18.91239542 18.40290398 18.54117996 18.42927306 18.82862422 19.0215776
 18.78159122 18.71336274 18.5943594  19.00639328 19.0475737  18.65593329
 18.78670747 18.79708081 18.39093143 18.86200791 18.90006355 18.4402329
 18.8393101  18.89301124 18.89818837 18.82973215 18.13232518 19.01240084
 17.97611424 19.00643843 18.67666491 19.01832178 18.94899405 18.80017296
 18.94226398 19.0184122  18.71458849 17.43265005 19.35429242 18.64714932
 18.60607907 18.96390694 17.82519279 19.07682476 18.6781475  18.72532061
 18.94818618 18.86436521 18.77590488 18.78062122 18.98767225 18.73817153
 19.01109059 18.90971321 18.85267343 18.69215654 18.75666741 18.85827301
 18.88583043 18.73957611 18.72882765 18.87077295 19.0423144  18.87335507
 18.63229629 18.7024257  18.92684773 18.99610342 18.80720034 18.85196261
 18.91588343 18.97254199 17.99038414 18.92210243 18.8395763  18.81352504
 18.63841704 18.88765857 18.99849437 18.48988488]",0.28044006413960315,2023-09-14 14:49:38.273703
13,13,x1922c3s0b0n0,19.06489236060565,"[18.68495301 18.79898016 19.4483949  19.21391087 19.11945357 19.03606144
 19.11602712 18.86205238 19.18672279 19.08838639 19.38092481 18.59323578
 18.46555827 19.28612412 18.52932729 19.29621866 18.81697668 19.29607904
 19.26309047 19.08806757 19.2572943  18.98172534 19.10374768 19.24515684
 19.0614613  19.37538599 19.10383892 19.44012442 18.50648074 19.00223989
 18.43598335 18.99010615 19.02673494 18.51440421 19.1234755  19.19427243
 19.44787483 19.32787321 19.05279052 19.32399823 19.08415157 19.33142274
 18.76744786 19.43261619 19.24173147 19.16103412 19.25622819 19.17476601
 19.39436254 19.13651271 19.29542747 18.93544905 19.29003043 18.91279782
 19.36010029 18.69460263 18.63151521 19.14292346 17.86244577 19.53363448
 19.24136123 19.02899781 19.35541625 18.97407193 19.25701617 18.11721384
 19.13774873 18.79248864 18.93764544 19.12932861 18.97371192 18.47387332
 19.47049976 19.04512504 19.06945812 18.78375205 19.46571479 18.42299189
 19.21340327 19.00327807 19.13060945 19.39939474 19.11899664 19.04712019
 19.02361306 19.41116239 19.22106629 19.38782929 19.21081953 19.11045605
 19.3236715  18.98141008 19.27339308 19.21603386 18.92622086 19.1201847
 19.03705801 19.29114681 19.22392995 18.41730859]",0.30744100444069317,2023-09-14 14:49:38.613599
14,14,x1922c3s1b0n0,18.99625980286888,"[18.88008081 19.27501837 19.09690726 18.92371378 19.21344941 18.94666041
 19.21691088 19.04122664 19.16287002 18.20507102 18.63628951 19.26438929
 19.32637906 19.08533531 19.11301286 19.19846412 19.0318498  18.97312694
 19.09225857 18.52031911 19.10639395 19.08519871 18.5528757  19.24631433
 19.12100729 19.06936721 19.13189047 19.11397184 18.89903662 19.07655182
 19.0318498  19.18658474 19.19602258 19.2572943  18.6761853  19.2221747
 18.94298163 17.96953266 19.26708027 18.81533921 19.02610143 19.12905416
 18.77449485 18.99344251 18.95577381 19.16534905 19.24362916 18.51423282
 19.10543574 18.45418518 18.99344251 19.10292657 18.88141762 19.06668573
 19.14814682 19.09681608 18.97330693 18.73202896 18.65297538 18.68757183
 19.01095506 19.22952116 19.08783985 18.65493271 18.97695249 18.67391837
 19.0986397  18.57510379 19.13362927 18.65067061 19.25247454 19.00991605
 19.23030696 18.64723625 18.74752474 18.99632896 19.01267195 18.43611081
 19.02524174 19.20745249 19.08720227 19.1221499  19.23682698 18.96071577
 19.25150162 19.1061658  19.08879631 18.77533203 19.16447673 19.13797764
 19.1881494  19.06659485 19.13500222 19.22434571 18.80114499 19.06986723
 19.19915524 19.29714957 18.99326214 19.19473297]",0.2488466824621018,2023-09-14 14:49:38.169493
15,15,x1922c3s2b0n0,19.02960546342476,"[18.99145859 19.26842603 19.27000407 19.05183767 18.90872992 18.68386205
 19.1035652  19.08806757 18.81476395 17.44234216 19.36342733 18.55760978
 19.32423162 19.08014615 19.0575108  19.33352506 19.28231233 18.49347527
 19.17343329 19.19841805 19.21368014 18.83052994 19.37172648 19.14173257
 19.22970605 18.79279766 19.11945357 19.31760558 19.01176828 19.26002966
 19.30022219 19.13170746 18.81268445 19.17540945 18.80755405 19.32595887
 19.14164097 18.98487854 18.39114283 18.64614969 18.50780798 18.73185352
 18.95797491 18.84112924 19.08811312 19.09654257 18.72979231 18.75891048
 19.15438192 18.92331092 19.29142593 19.1316617  18.87442374 19.0522914
 19.34352899 19.38961492 19.26188458 19.27121098 19.14333573 18.5555437
 19.1460388  19.25585739 19.33829199 18.87388939 19.18649271 18.36471404
 18.98037429 19.35930384 19.0967705  19.15332717 19.3164395  19.17407665
 19.23155514 19.21183449 18.6257459  18.841928   18.99641917 18.94980197
 18.57251639 19.01827656 18.77929864 19.23904757 18.80224969 19.15488641
 19.25437435 19.23400572 18.68211678 19.21331098 18.86885907 18.61937346
 19.23881624 19.10383892 19.32955441 19.04548777 19.14022126 19.24950974
 19.14998025 19.31886511 19.13921386 19.10561825]",0.293778978083126,2023-09-14 14:49:38.091032
16,16,x1922c3s3b0n0,19.111197937944596,"[19.28417155 19.49165757 19.28445047 19.43497664 19.10069168 19.26299771
 19.25780423 18.88935325 18.95285477 19.28710055 18.74308849 18.34361722
 19.49274992 19.27734069 19.22222089 18.49240656 19.39403343 18.93213304
 19.03003892 18.79606504 19.20772919 18.72869611 19.34418381 19.22734898
 19.07104919 19.20062978 18.55451083 19.33674949 18.66838416 19.21243429
 18.65341031 19.39107187 18.99574258 19.15245594 19.28217291 18.50220061
 19.45312405 19.33665602 19.06464105 18.62752403 19.11570738 19.27799104
 19.27566856 19.27483261 19.25029718 19.12585289 19.40909025 18.87348865
 19.3057647  19.27887373 19.24358287 19.27306806 19.36769324 19.3427339
 19.25321589 19.10716973 19.28338134 19.28551971 19.30143289 19.00178854
 19.17982283 18.58891543 19.30436713 19.32605224 19.26578108 19.04276768
 19.38106567 19.17688035 19.06550431 19.22078921 19.36047511 19.40438248
 19.42247277 19.04521572 18.66511746 19.42384034 18.98555437 19.36244315
 18.18863892 19.43223857 19.30399448 19.19749665 19.35752379 17.96529554
 19.38914499 19.39125987 18.68875054 19.20090628 18.32139389 19.1455806
 19.07759813 19.22157429 19.32432498 19.05714762 19.08119286 18.73137107
 19.42714215 19.28198701 17.75237216 19.73379116]",0.33906885643224866,2023-09-14 14:49:38.065625
17,17,x1922c3s4b0n0,19.258797535424538,"[19.47391226 19.422237   19.16461446 18.90296635 19.40697147 19.53411144
 19.40052381 19.157134   19.61423699 19.34694391 19.47737338 19.36961585
 19.36258374 18.33794074 19.63532296 19.43828224 18.66067659 19.38322576
 19.62843375 19.05456035 19.34647604 19.60664175 18.92093886 19.37092908
 19.04072812 19.01294306 19.57722972 19.57277525 19.04485301 19.45269833
 19.40094725 19.39553806 18.49313327 19.57727763 19.56444651 19.4481585
 19.32343812 19.4576662  19.51905059 19.16833391 19.30529882 19.18327219
 18.83789053 19.39201195 19.42511376 19.4558207  17.63252496 18.45056747
 19.55139328 19.49859366 19.03424975 19.11643823 19.50605785 18.90310034
 19.31065779 19.47713628 19.27775877 19.47889097 19.50981588 19.05070345
 19.40880772 19.13619228 19.39135388 19.39121287 18.44916333 19.54389437
 19.20777531 19.40805434 19.42648169 18.91861213 19.38022055 19.10247043
 19.4147897  19.40513557 19.4475439  18.92886297 19.39915953 19.49441241
 19.57014183 18.3169473  19.35644654 19.31037812 18.97083235 19.3091197
 19.23377451 19.5040605  19.59449199 18.64801865 19.32731288 18.22809268
 19.74596812 19.35944438 19.14164097 19.5471416  19.35031323 19.51633639
 19.33002146 19.36356793 19.48339771 19.3549948 ]",0.3519142391739565,2023-09-14 14:49:37.982763
18,18,x1922c3s5b0n0,18.80935600529986,"[19.00377462 18.93513533 19.05950855 18.58416536 18.92639996 18.78763398
 19.06341445 18.15005558 18.59872552 18.80525513 18.7158144  19.01651346
 19.22143575 19.02655393 18.86743504 18.98249102 18.88690052 19.13381232
 19.02795683 18.97875329 18.64532399 18.9253254  18.80914595 18.80609506
 18.92926607 19.03461206 18.40701123 18.20788857 18.95815461 19.0175532
 18.67862721 18.97893338 18.58502883 18.99948701 18.89372516 18.0200473
 19.30106035 18.80485729 18.92863903 18.95689676 18.76674345 19.03909679
 19.04748299 19.05306278 19.00205935 18.8920743  19.02935992 18.8253455
 18.70942394 18.35637058 18.30479311 18.65501972 18.9371075  18.63030032
 18.78511937 19.0419518  18.89078059 18.86650064 18.71966829 18.59556961
 17.82805289 19.15048451 17.79165527 19.15273106 18.74598719 18.81821603
 19.05115712 18.85391749 18.90841708 19.01877391 18.6645949  19.03198563
 18.88025904 18.83438688 18.96107528 18.21083135 18.94195003 18.78106212
 18.9026537  19.01072918 18.64050162 18.94666041 18.64289077 18.92765378
 18.99637407 17.87733467 19.16943625 19.09421803 19.09348888 18.42787216
 18.21746645 18.58658327 18.7998637  18.89350205 18.94280221 18.40739241
 19.0856085  18.95096911 18.72957306 19.15924446]",0.29984321328675956,2023-09-14 14:49:38.122704
19,19,x1922c3s7b0n0,18.837031732247446,"[19.03927803 18.99150368 18.99966751 18.60071473 18.96049108 18.98005908
 18.81702094 18.98609506 17.91272027 19.23183253 18.79730165 18.95343851
 18.79478445 18.910786   19.05111175 19.00138235 17.8463076  19.22711793
 18.9935778  18.67871444 18.98037429 18.8533843  18.88712347 18.78939902
 19.04181583 19.14938435 18.97366692 19.07259506 19.04893433 19.00391005
 18.99989313 18.83159376 19.00485812 19.0820121  18.5323749  18.99163893
 18.82897874 18.8496084  18.99727627 18.53061489 18.85396192 19.1042495
 18.97240701 18.57933142 19.00057002 19.05274514 18.96129999 18.65832639
 18.88244263 18.78820758 18.97848314 19.05387961 19.05428805 18.76678748
 18.4792928  17.92741191 19.10721536 18.8459228  18.88810451 19.05905448
 18.67989203 18.81799471 19.03289122 18.92022288 18.95119357 18.55283267
 17.87749447 19.19183196 18.71835428 18.86930412 18.56002079 18.89863481
 18.48061614 18.96377208 18.84024181 18.94096338 19.02415592 19.0581464
 19.05142933 18.88578585 18.79716915 19.15158479 18.43041941 18.93320837
 19.0857451  19.10548136 19.02800208 18.4498441  17.66136973 19.09772785
 19.0718221  18.98469833 19.1540609  19.05546809 18.80773092 18.86058491
 17.88512829 18.900778   17.4853451  19.20390223]",0.3372668835827459,2023-09-14 14:49:38.261278
