,i_Host,Host,Throughput,Throughputs,Uncert,Start
10,10,x1922c2s3b0n0,22.99520327438954,"[22.95677526 22.71269015 23.39564373 23.14419703 23.33130157 23.25081233
 23.15880281 22.55223662 23.22961311 23.20441348 22.65576547 23.23541542
 22.88925321 23.41050019 23.01151726 23.0524963  22.86622401 23.11163497
 23.15873576 22.48119308 22.88997362 22.91390387 23.15411087 23.08875606
 23.00873757 23.33735903 23.14794721 23.31756483 22.64710712 23.19734854
 22.69658076 23.37349679 22.81789608 23.05588458 23.40372002 22.40952853
 23.22651074 22.90917942 23.05455572 23.22435306 22.88303337 23.10429278
 22.49377204 23.24000535 22.86400206 22.92191364 23.13422477 22.87478912
 22.83932818 23.01297356 23.23413327 22.66699912 23.21707384 22.84115405
 22.84617669 23.11323753 23.26629731 23.07503714 22.95539193 22.41612167
 22.91488838 23.28837706 23.16034486 22.90111299 22.47740319 23.04784733
 23.19338061 23.13402408 22.97279447 22.55522506 23.15471401 23.14319272
 22.78384398 23.09482156 23.00701714 22.82675067 22.89921198 22.90806421
 23.23777766 22.89770451 22.89003911 22.78494712 22.27921989 23.10869754
 23.01409901 23.01760847 23.03702914 22.75552319 23.12165459 23.05980561
 22.76044349 22.67927256 22.79578962 23.20838519 23.20515386 23.02661877
 23.1698699  23.02072153 23.03702914 23.26622965]",0.24135840139255346,2023-09-14 14:45:59.159183
11,11,x1922c2s4b0n0,23.369652742017987,"[23.42283785 23.54554739 23.49762087 23.25831557 23.48265366 22.7537757
 23.02376916 23.62746575 23.45002653 23.00913463 23.67431248 23.64254831
 23.4521576  22.02612849 23.62802402 23.46123617 23.58024801 22.51111486
 23.74887935 23.45057644 22.62917013 23.70054363 23.54568599 23.05987208
 23.49141095 23.63095537 22.7271436  23.57573114 23.41043169 23.45408277
 23.52000376 22.73928837 23.54028184 23.36121105 23.5020388  23.60912729
 23.52629799 23.56802173 23.30723894 23.45937862 22.92322725 23.35493665
 23.66681853 23.41235001 23.61337816 23.27990595 23.33667826 23.52851215
 23.49617159 23.54436936 23.53979697 23.19829029 23.39023984 23.19882846
 23.62028037 23.51246896 23.34934709 23.34662145 23.50017478 23.31606973
 23.50107224 23.38176281 23.56052552 23.26873351 23.62641906 23.46763666
 23.34471388 23.55449037 23.55948475 23.35595942 23.53488016 23.31403126
 23.61365696 23.29461574 23.23764266 23.40714386 23.12633338 23.38866702
 23.48120623 23.39352292 23.37322364 23.47280089 23.06319604 23.27990595
 23.67571375 23.14486661 23.45944741 23.22327437 23.44576555 23.39885989
 23.50486992 23.39988651 23.40146084 23.48878997 23.35534575 23.43717957
 23.01495972 23.32313918 23.18813695 23.16919887]",0.26921654929795624,2023-09-14 14:45:58.688495
12,12,x1922c2s6b0n0,23.223800851770775,"[23.52221673 23.52692068 23.44631527 23.39345451 23.51385113 23.42928602
 23.02522701 23.6286521  22.85009197 23.55171663 23.26196756 23.55830533
 23.04253652 23.36728405 23.45270762 23.43326645 23.1830972  23.13034528
 22.7865696  23.45635213 22.99167701 23.28132867 23.46467686 23.3601196
 23.42338649 23.3841549  23.25892416 23.32205129 23.43436474 23.5036269
 23.13710179 23.1712792  23.14828211 22.74025793 23.23933024 22.83893696
 23.23501051 23.33266252 23.2623734  23.47121695 23.24547512 23.13783788
 23.17826111 23.41324077 23.09735535 22.96659509 23.37909792 23.20300015
 23.49582655 23.43779755 23.21606319 22.68853463 23.18894351 23.17852973
 22.18284767 23.46440157 23.29522623 23.54575529 23.23244643 22.65461064
 23.14379529 22.65884559 22.90609646 23.5842799  23.29570107 23.27374285
 23.12499639 23.40830819 22.73179325 23.19008624 23.14680863 23.28966521
 23.25344805 23.37083378 23.03941756 23.35820983 23.19217032 23.22873627
 23.49907032 23.1187146  22.87053846 23.08422568 22.76627291 23.1787312
 23.29441225 23.06419342 23.39913365 22.9579611  23.33143765 23.04426227
 23.390445   23.34137638 22.81952324 23.48320511 23.28424239 23.42256354
 23.30452312 23.39906521 22.91232884 23.45415153]",0.2520886103494057,2023-09-14 14:45:58.613058
13,13,x1922c3s0b0n0,22.88243493640709,"[23.33531684 23.29597242 23.02913762 23.12653394 22.95321847 23.23663022
 22.93439902 22.54994814 23.0408774  22.86112723 23.23102969 22.9923378
 23.02184773 22.73566942 22.65435403 22.92920608 22.66648533 23.26656798
 23.03550347 23.00503235 22.68750514 23.0673856  23.1968777  22.94156783
 22.6041699  22.89521433 23.22934331 22.74504229 22.60787489 22.82141105
 23.04260289 23.04439503 23.08828962 22.6917524  21.93890563 22.96013546
 22.88087359 23.08129521 22.91114771 22.91331321 23.04147465 22.92204499
 23.08922253 22.91042596 22.76763353 22.43894503 22.91357572 22.68094432
 22.64249203 22.88990813 22.77534683 22.83261411 22.81301597 23.10776305
 22.98474101 23.00675248 22.86223787 22.63807101 22.83874136 22.5543348
 22.28368806 22.68062281 22.04561237 22.781638   22.62257903 23.27414911
 22.26025015 23.07876494 22.98989307 22.61145327 23.24473216 22.51295198
 23.16685055 22.53908418 23.04273563 22.967716   23.12218921 22.96705663
 23.10049002 23.15612147 23.06160042 22.87963027 22.94025211 22.5142825
 22.93111207 22.50319967 23.11397211 23.18726324 22.79507512 23.09062203
 23.07876494 22.37205283 23.07377262 22.50244011 22.87210775 23.03948392
 22.8927902  22.55859595 22.95960831 23.4677055 ]",0.27151646199968926,2023-09-14 14:45:59.074715
14,14,x1922c3s1b0n0,23.55858619168889,"[23.67017972 23.63284019 23.19109462 23.61700306 23.59728867 23.54762655
 23.71389189 23.42084924 23.77273268 23.67788604 23.76355265 23.78856721
 23.19586882 23.82498168 23.78991129 23.7827682  22.68055851 23.83662378
 23.39578057 23.93998246 23.79189232 23.68223181 22.84063234 23.36742056
 23.22988292 22.95618239 23.55005269 23.10142391 23.67949799 23.54291432
 23.01270877 23.19546529 23.74627109 23.19479277 22.64864589 23.23838516
 23.83136923 23.6504464  23.66051888 23.64932777 23.81994504 23.67669473
 23.56552246 23.91622148 23.55664047 23.79203383 23.52733582 23.72760707
 23.76976605 23.73654805 23.73901329 23.54984472 23.74570722 23.46928897
 23.62390739 23.72240047 23.7056704  23.7288035  23.63723929 23.63158361
 23.48168869 23.58782632 23.37062896 23.41584492 23.70623237 23.74937287
 23.50045091 23.82427217 23.68237203 23.06339551 23.78354595 23.7526165
 23.60216196 22.98480704 23.4968617  23.68096997 23.73450582 23.37991782
 23.47507387 23.74951388 23.66184852 23.65786003 22.84545904 23.20192344
 23.66212847 23.84536282 23.62886147 23.77499346 23.58066503 23.69429619
 23.66534831 23.67361191 23.42894294 23.76750625 23.65275392 23.4772784
 23.61930406 23.51523346 23.68917434 23.74218363]",0.2672908996879593,2023-09-14 14:45:58.411147
15,15,x1922c3s2b0n0,22.80062115997657,"[22.81275575 23.35759604 22.75008745 22.96474911 22.69297539 22.92486947
 22.63928822 22.79637424 22.43938561 23.19136354 22.42290724 22.62200329
 23.30384426 22.93130926 22.48454188 22.950387   22.50718823 22.80189712
 23.01456246 22.64813294 22.82323405 22.89344532 22.78605038 22.74769395
 23.05854276 22.57221699 22.52645451 22.49294987 22.82531784 22.99280038
 22.60659717 22.72817669 22.97160709 22.51219176 22.96310117 22.6259061
 22.93459627 22.38939638 22.7073393  23.01688    22.66346734 22.90150635
 22.59197759 22.5986147  22.25888756 22.64582496 22.98375049 22.63397189
 22.85100573 22.31906215 22.57081593 22.46389631 22.33694727 22.85714286
 22.83411302 22.66654956 22.98863787 22.57310866 22.86047395 22.77897842
 22.74071042 22.53337051 22.60250944 23.03596778 22.53711581 23.05090215
 22.49061017 22.71978553 22.85322516 22.58285792 22.60902496 22.87668608
 22.69497108 22.89580406 22.99504744 22.64678656 21.90952462 22.58419671
 22.84161056 22.48643787 22.74342573 22.47689796 22.88728869 23.18605359
 23.3455995  23.03391168 23.27184717 23.16222242 23.10395915 22.95677526
 23.28139642 22.91987784 23.03583512 23.19896301 23.3641448  23.19452377
 22.96217842 23.19062403 23.13241864 23.1175789 ]",0.27089136724674223,2023-09-14 14:45:59.012807
16,16,x1922c3s3b0n0,22.962206262918173,"[23.64122083 23.69710362 23.44782712 22.97926122 23.52131766 22.779173
 22.6431329  22.63243511 22.71011111 22.7017977  23.04837855 23.2849201
 22.97833717 23.270561   22.76543069 23.23771016 22.75986071 23.40666446
 23.07683432 22.79293191 22.86570116 23.17497103 22.81093442 23.45236385
 23.11824694 23.13422477 22.90675234 22.69316851 23.40324076 22.73709102
 22.98804334 22.81932797 23.01959543 22.62872207 22.85962476 22.76873511
 23.19775214 22.77768129 22.95644588 22.96903487 22.83906737 22.84095841
 23.13101406 22.89947417 22.72469038 23.19855937 23.07184283 22.67021078
 22.91849895 23.26460581 22.776514   22.9550626  22.75248144 22.88604466
 23.11236945 22.85172373 23.3155261  23.1019576  22.94262051 22.83743741
 22.87629358 22.71585027 22.79299685 22.35055164 23.09062203 22.87727486
 22.72210861 22.94426551 22.66629267 23.21700646 23.17409831 22.58999997
 23.13409097 22.77962704 22.85969008 22.80222208 23.10042332 22.85786125
 22.97708323 23.09708861 23.16047896 23.15498208 22.64531214 22.91403513
 23.02184773 23.11884822 23.00867139 23.20300015 23.00635551 22.7355402
 22.68872767 22.7586305  23.06020443 22.56228601 22.7907891  23.01899931
 22.69452041 23.14138519 22.80898332 23.35425485]",0.24684135614857894,2023-09-14 14:45:58.551869
17,17,x1922c3s4b0n0,23.27592236324714,"[23.67823644 23.47576274 23.54312217 23.67893729 23.73154872 23.61553902
 23.20798122 23.62474456 23.62132651 23.49023834 23.10028991 22.93446477
 23.56316253 23.60501725 23.4881693  23.42372941 23.63074596 23.43903361
 23.04134193 23.23264884 23.18289566 23.26277926 23.62118702 23.2746231
 23.04247015 22.83450408 23.1443979  23.59116511 23.51198523 23.53820398
 23.5047318  23.53612648 23.71241582 23.21909538 22.92598632 23.54506231
 23.39037661 23.10569411 22.49288662 23.68573763 23.24621813 23.43717957
 22.82974716 23.26460581 23.05741296 23.00311405 23.63898541 23.24297626
 23.49651664 22.7759304  23.1624236  23.20145241 23.06432641 23.60912729
 23.38695768 22.75901897 23.35316406 22.54899474 23.0121792  23.26697398
 23.3842916  23.4834119  23.19788667 23.45600826 22.64794059 23.24986631
 23.11524103 23.49327358 22.73508791 23.55345014 23.5640648  23.50155551
 22.89337981 23.0805627  23.42997221 23.47521164 23.27970272 22.97074962
 23.4061166  23.53349552 23.46832509 23.44212433 23.17161477 23.05236344
 23.1965414  23.38504351 22.56655017 23.20192344 23.50217689 22.81444725
 23.49106605 23.1040926  23.4258557  23.31620564 22.98936455 23.02661877
 22.7165598  23.42722771 22.61579996 23.62139626]",0.2998925950781588,2023-09-14 14:45:58.968137
18,18,x1922c3s5b0n0,22.86226402324605,"[23.2334585  22.96033315 23.01257637 22.75545847 23.1292753  23.09775548
 22.47462474 22.79423078 23.00781115 22.89737682 22.94854363 22.8125606
 22.96534243 23.17033965 22.9032766  22.98493912 22.94419971 23.03782523
 22.84448049 22.93841037 23.1367003  22.89246266 22.88473531 22.25715359
 23.20629819 22.87753655 22.97820517 22.88866382 22.79507512 23.01290736
 22.62513823 23.11397211 22.37918736 23.09588835 23.08595768 22.43397401
 22.54346662 22.55668778 22.69336162 23.14319272 22.93006045 22.9427521
 22.81314608 22.53083204 22.99841886 22.64909474 23.13870788 22.98850575
 22.94755623 22.84741639 22.75073442 22.95065036 23.17356128 22.87138846
 22.61880527 23.12172141 22.85094046 22.87819079 22.90576853 22.73489408
 22.36817456 22.86432879 22.79559475 22.45273699 22.71146503 22.99319689
 22.385011   23.07536993 22.93998899 22.89606617 22.73715564 22.99868333
 22.84983091 22.55643338 22.94617401 22.89154558 23.0139666  22.96976031
 23.28153192 23.11210236 23.15176561 22.33214601 22.51548643 22.70837059
 22.97259656 22.88447346 22.62859406 23.03795792 22.77255907 22.98124156
 23.1176457  22.81112955 22.858645   22.83554695 22.91508529 22.5314666
 22.81021898 22.47752949 22.86426344 23.02403421]",0.22111160199050867,2023-09-14 14:45:58.898422
19,19,x1922c3s7b0n0,22.95083203543745,"[23.32946453 23.32171135 22.88309883 22.89816328 23.191498   23.383198
 22.49529005 22.85603271 23.24236851 22.89265918 23.13924329 23.23028765
 23.14774628 23.06312955 23.1857176  22.8824443  23.15987552 22.78981523
 23.33381945 22.91088525 22.51187501 22.70050934 22.75539374 22.87165002
 22.30593143 22.66256852 23.21552422 23.0729075  22.92769465 23.08289356
 22.98064742 22.97807317 22.64653013 22.72966192 23.13777096 22.816139
 22.40626479 23.15840057 22.74885829 22.47329891 23.25189358 22.40657857
 23.05641617 22.65871723 22.76847591 23.12111999 23.09482156 22.4696379
 23.12392691 23.0254921  22.74271451 22.68731212 23.51433493 22.56712309
 22.70269963 22.7985181  22.34967747 23.26061484 22.76329305 22.77379078
 22.99835274 22.51814822 22.53603653 23.36578256 23.33756327 23.04837855
 23.11884822 23.08003    22.61477706 23.06366147 22.91954952 22.38432202
 23.27888983 23.02363664 23.04691776 23.17584382 23.0507029  22.94110731
 22.78306535 23.28268379 23.21828672 23.29814343 23.19492727 22.3408771
 22.95104542 23.00139446 23.05110141 23.38128445 23.11584215 22.91403513
 23.28295484 22.95427222 22.71617278 23.16007666 22.93387304 23.07563617
 23.0994895  22.81438219 23.17933562 23.17557526]",0.2780629794668595,2023-09-14 14:45:58.257943
