,i_Host,Host,Throughput,Throughputs,Uncert,Start
10,10,x1922c2s3b0n0,24.014594463566922,"[23.30112923 23.87824483 24.35304611 23.76821239 24.21600678 24.11963338
 23.82022873 22.81978361 24.11737928 24.20245352 23.73344963 23.94557172
 24.65886008 23.25419157 24.58233084 22.99603893 24.84070895 23.94980122
 23.78100076 24.13382204 24.24705323 24.39299555 23.31939999 24.57644041
 24.08898471 20.52713687 23.14252323 23.62704706 24.81712878 23.9273804
 23.88280707 24.0142885  24.00982002 24.26359975 24.1974756  23.35568667
 24.3922518  24.4868475  24.04792752 23.96788304 24.35267545 24.09551462
 23.60271903 24.50529927 23.78863795 23.94378    24.34896943 23.5050771
 24.54462059 24.21168274 23.91800906 23.56607781 24.13222044 23.88979637
 24.20516296 24.2918176  24.22238572 24.03145718 24.36120357 24.14001207
 24.01205405 23.75988263 24.43882352 23.75974149 24.39039262 24.13527823
 23.90171614 24.4715671  24.42449777 24.1704987  23.9029302  24.07144405
 24.28643421 23.58045652 24.1658989  24.57266598 24.13302121 23.4259243
 24.15750695 24.46326077 23.44130005 24.12690753 24.23170355 23.89464849
 24.15502696 24.42382666 24.29395688 24.17787664 23.89243625 24.33201028
 24.01479311 23.97362901 24.29403065 23.77358042 23.82725242 23.61198426
 24.62599274 24.22759402 23.97657489 24.52663593]",0.5178199301223918,2023-09-14 14:47:44.936651
11,11,x1922c2s4b0n0,24.1244939990127,"[24.3741926  23.77562939 24.1873065  24.22840114 24.17020659 24.14948531
 23.86713168 22.88178981 24.2347132  23.33729095 24.99172149 24.11592525
 23.88245058 24.30510194 24.23412589 24.13141971 24.25366913 24.09631296
 24.13040069 23.88145247 24.310272   24.18167694 23.79146778 24.62462832
 23.78899164 20.28917142 24.65886008 24.14365475 24.47396276 24.16473097
 24.20501649 23.60592273 24.82043963 23.99872807 24.13775416 24.20157492
 23.73133753 23.68545713 24.93011776 23.81937766 24.43165854 24.37255894
 23.52692068 24.52550806 24.4464409  24.14890213 24.1804344  24.2256865
 23.81873939 24.13884665 23.55414362 24.86572508 23.74859735 24.18833034
 23.93654422 24.24470178 23.86008446 24.57696892 24.56489431 24.03232348
 24.41957718 23.91715099 24.27471697 24.08543102 24.48362505 24.43725582
 24.12814458 23.75769527 24.86587966 23.99664047 23.84330182 24.48399971
 23.89978819 23.94471166 24.63918986 23.90593016 24.64488264 23.87047878
 24.41518014 24.34296808 23.84664224 23.93826322 23.57969199 24.8751578
 24.13258442 23.82654277 24.8343086  24.41354097 23.61742139 24.56451717
 23.89593321 24.45211969 24.01306311 24.32757074 24.4183846  24.46894738
 23.29888981 24.97822211 23.68321334 24.74795752]",0.5474855639695377,2023-09-14 14:47:44.378588
12,12,x1922c2s6b0n0,23.965831517184213,"[24.21608008 23.3298047  23.67165054 24.18613651 24.37500952 24.22715379
 24.14533075 22.72559413 23.85702485 24.56036939 23.40495249 24.44599269
 23.69591038 24.48265098 24.17356621 23.63018756 23.88822699 24.22920831
 24.16524192 23.63765834 24.14008491 23.71796962 24.33319443 23.56142759
 24.12261525 20.211922   24.1308374  24.21146292 23.94091382 24.30495426
 24.2173996  24.30148421 24.17342012 23.53044987 24.4239758  23.90714465
 23.96630338 24.08456089 23.99800817 24.4186082  23.86036912 23.77061358
 24.28215868 24.33837645 23.74133812 23.86983777 23.98139044 23.81342184
 23.82100894 24.37523233 23.86670446 24.3812496  23.68068958 24.52377887
 24.10299209 24.34556089 23.90414438 23.39236006 24.4462168  23.42510117
 24.62546211 24.26808959 24.23911891 23.66296834 23.82271138 23.72029034
 24.32764472 23.97492223 24.23045587 23.93332177 24.15108921 23.37349679
 24.15152668 24.31470523 23.27008718 24.24528959 23.95295639 23.69001614
 24.47987907 24.11854264 23.82597508 24.42718257 23.80215648 23.84166749
 23.27563884 24.33341647 24.01090095 24.08869457 24.09500661 24.00556929
 23.85723829 23.98786214 24.19593871 23.87902884 23.44652142 24.0915237
 24.13913799 23.91700798 23.73802713 24.40505063]",0.5073760400122848,2023-09-14 14:47:44.469457
13,13,x1922c3s0b0n0,23.90099379110453,"[24.1175247  23.35930109 24.4959949  24.02986913 23.74070403 24.22942846
 23.39817553 23.19418754 22.90629322 24.86974471 23.66758872 24.29026871
 23.78778913 24.12326991 23.8746818  23.56385658 24.38994646 23.7632703
 23.91800906 23.89678977 23.57246618 24.12632544 24.16013336 23.63716945
 23.87518056 20.49589826 23.92501899 23.88416182 23.94901255 23.74852685
 24.02467334 23.12894095 24.7244002  23.80909865 23.32674353 24.51047976
 23.95410394 23.74620061 24.18679461 23.68510651 24.01897499 24.16940335
 23.84472316 24.01335142 24.17334707 23.67809628 23.89950259 24.17444278
 23.73387209 24.52550806 23.94614512 24.01818176 23.4259929  24.68792915
 24.10364568 24.0158024  24.02914736 23.71522755 23.30228304 24.69707494
 23.83918089 23.97513778 23.87917139 23.60968469 24.1853322  23.27956723
 23.96364715 23.32504322 24.64359205 24.07151648 23.94213187 23.79755421
 23.5056296  24.4265859  23.97154578 24.0912335  24.00124806 24.10139457
 23.51274538 24.31337509 23.25730134 24.43718117 23.84600252 23.85794977
 24.12181517 24.04648185 23.90685888 24.36350347 23.10549391 24.92126438
 24.00982002 23.5479038  24.00585743 24.14875634 23.84685549 23.8970753
 24.34770964 23.80810666 23.76178807 24.1665559 ]",0.5140305747491339,2023-09-14 14:47:44.808596
14,14,x1922c3s1b0n0,24.32630801422691,"[24.47913001 23.73957684 24.74152835 24.34030176 24.36869841 24.36869841
 24.5044736  22.99022341 24.6485274  23.98951658 24.29631789 24.46266233
 24.44285566 24.4789053  24.1151983  24.31699636 24.24756767 24.70638011
 24.39678938 24.45869843 24.51258262 24.39411126 24.61182537 24.17488109
 24.65255308 20.98041478 24.10887568 24.80066466 24.0510363  24.42084441
 24.41115712 24.31093688 24.65863206 24.51618835 23.79387367 24.33082624
 24.40527398 24.30657888 24.05486916 23.99944801 24.85112622 24.40936954
 24.38072947 23.57288293 24.49682001 24.66760404 24.41488209 24.56949636
 24.36587802 24.05566481 24.90753079 24.48752208 24.31337509 24.40289174
 24.7004301  24.33978338 23.74528433 24.98508703 24.53227681 24.37025732
 24.4453204  24.10001506 24.65209728 24.65262905 24.25146342 24.40229626
 24.36958919 24.70737206 24.43076322 23.96644697 24.64594559 23.70560015
 24.81212569 24.49209518 24.54514773 23.88145247 24.23412589 24.27744261
 24.57455305 24.06152532 24.84464334 24.4113061  23.89364937 24.35816242
 24.14219754 24.44203419 24.14955821 24.5725905  24.38087808 24.83831807
 24.33815432 24.07477626 24.16933033 24.0100362  24.59472505 24.44688913
 24.48707236 24.09754687 24.00247225 25.01094229]",0.46104404411523187,2023-09-14 14:47:44.561236
15,15,x1922c3s2b0n0,24.093101069710148,"[24.13207485 24.01205405 24.46079241 23.48851412 24.33659951 24.65513628
 23.93912281 22.47153138 24.73150856 24.03752257 24.5058998  24.17736515
 24.28179017 24.21520049 24.3209884  23.83910985 24.62993522 24.31825298
 24.19689009 23.59318275 23.80853179 24.6867864  23.70510845 24.21263536
 24.12261525 20.37936182 24.02986913 23.94714864 24.72317767 24.5056746
 23.88908299 24.22355923 23.35684589 24.14839187 24.03023003 23.84330182
 24.29720339 24.20333219 24.11243629 24.48347518 24.36016504 23.75586102
 24.1730549  23.73119673 24.68076967 24.08064608 23.79727105 23.57809359
 24.43800232 24.02323046 24.8145885  24.20472355 23.65548157 24.66623501
 23.49375653 24.27913724 24.68206416 23.80902779 24.52746309 23.58295895
 24.30857303 23.88594461 23.54859695 24.50912812 23.95919749 24.35386161
 24.12829012 24.09667586 23.67557361 24.3973102  24.25315443 24.18540532
 24.19732922 24.09036295 24.19367033 23.6589095  24.53175022 23.39365973
 24.35067406 24.20479679 24.20816602 24.13047347 24.25197805 24.58157549
 24.29594895 24.0865913  23.69331375 24.65726403 23.97535334 24.34267179
 23.98973239 23.75437971 24.27611655 24.14802741 24.58089573 24.29211265
 23.88073959 24.45645528 24.17181325 24.22766739]",0.5258497944587619,2023-09-14 14:47:45.018045
16,16,x1922c3s3b0n0,24.1205131888506,"[24.41927902 23.68391448 24.70325218 24.11454408 23.604669   23.83364118
 24.06485478 22.41304439 23.2130318  23.98469776 24.27479063 23.63193265
 24.08369083 24.74657956 24.29565381 23.79429829 24.58935773 23.69345409
 24.06499956 23.99469717 24.89296027 23.78503089 23.97549704 23.83974921
 24.45982016 20.52097629 24.31965758 23.89136596 24.31041975 24.27324391
 24.09304735 23.98764636 23.84060174 24.21197585 24.2221657  24.6857961
 24.27103464 24.08187839 24.51333372 23.48224009 24.299196   24.48729721
 23.4065275  24.43598688 24.69814239 24.1788266  23.80895693 23.98627985
 24.57795051 24.21608008 23.57670386 24.27162374 24.4159998  24.50417337
 24.22128567 23.93038651 24.45967059 23.53280326 24.36098102 24.51829218
 24.38206699 24.37270744 23.70777793 24.34800605 24.2248062  23.91050299
 24.28230609 24.21454083 24.45025138 23.8854454  24.51941938 23.72852198
 23.76567049 24.68869104 23.80272303 23.96730859 24.10458982 24.91179667
 24.34119047 24.55019441 23.83470631 23.89864584 24.52633515 24.3402277
 24.13979354 24.54296399 23.88159505 24.13549668 24.36083265 24.55712755
 23.77534675 24.6374446  24.14103191 24.19959829 24.59298608 23.91143206
 24.48085291 24.31677462 24.3280886  24.54153348]",0.5286656720589024,2023-09-14 14:47:44.788656
17,17,x1922c3s4b0n0,24.229799560707367,"[25.27582241 23.64010307 24.7666517  24.11621605 24.20736025 24.12145151
 24.41525465 22.76037873 24.34585725 23.8492726  24.77485847 24.23126318
 24.57168482 24.47516077 23.76404678 24.88444287 24.42516892 24.19915908
 23.42002646 25.00398501 24.28319057 24.0091715  24.01407225 24.27118192
 24.000024   20.19223003 24.48280083 24.28016887 24.59555681 24.45787589
 23.95926924 24.37575222 23.96544183 24.06927136 24.8029714  24.24139582
 23.69984151 24.82352029 23.65590126 24.97947    24.04756609 24.6462493
 24.35934912 24.14562225 24.14074052 24.43009177 24.03875047 24.24161619
 23.71354043 24.08673634 24.35386161 24.78921421 24.23207054 24.4017008
 24.74160486 24.38764156 24.04344651 24.58142443 23.65953923 24.18628275
 23.66912924 24.02943606 24.23126318 24.1998179  24.23221734 24.24132236
 24.76205216 23.6770451  24.02748745 24.95710498 24.44061541 24.17086384
 24.49501986 23.94385167 24.44479754 24.15444351 24.42651131 24.36216799
 24.29764617 23.97406007 24.86711635 23.98958852 24.30849916 24.58633492
 24.02474549 24.17911891 24.77178989 24.38303307 24.44464815 23.97542519
 24.72875645 24.12770796 23.51869001 24.63501683 24.91474486 23.99584872
 23.88152376 24.27854778 23.94378    25.05386581]",0.568364540156684,2023-09-14 14:47:44.824451
18,18,x1922c3s5b0n0,23.9058437948314,"[23.66975952 23.73021123 24.95788357 23.82420122 23.39988651 24.15349546
 24.07709486 22.5348304  23.29943266 24.26978291 24.14190612 23.42736492
 23.85901707 24.39924484 23.93704557 24.16838111 23.83023342 23.32579133
 24.46692683 24.16808906 23.52671311 24.43039018 23.64548327 23.85503296
 24.12836289 20.72232857 24.30192714 24.11534369 24.22825438 24.1422704
 23.91986844 23.95116358 23.87788848 24.08847698 23.90493009 24.16203058
 23.3941386  24.41138059 23.88922566 23.9368307  23.88280707 23.54506231
 24.41279597 23.55920723 24.13054626 23.40173465 24.56640299 23.50252211
 24.74481905 24.03001349 23.59687105 24.27493795 24.07535586 24.2164466
 24.10836711 23.76552929 23.66429826 23.46756782 24.33711776 24.53521109
 23.93912281 23.61895539 24.24947864 24.12647096 23.32858014 24.70218429
 23.51426581 23.8076107  24.55200268 23.85901707 23.96996563 23.79083101
 24.03968953 23.94463999 23.41474836 23.65611111 24.6225062  23.43704225
 24.12254252 23.78121284 23.90178755 23.62195424 23.96529825 24.32609125
 23.75833026 23.99153099 23.88109602 23.59756709 23.72014967 24.0865913
 23.74408624 23.93317857 23.77598269 24.08782421 23.8073273  23.93425261
 23.90550155 23.83314416 23.95948451 24.18599027]",0.48837889675065,2023-09-14 14:47:44.814965
19,19,x1922c3s7b0n0,23.86758063596475,"[24.68305416 23.48313617 24.15984151 24.00434479 23.91622148 24.11250897
 23.96788304 22.03098107 24.25455152 23.85105019 23.28702127 24.31086301
 23.89643286 23.99268223 23.53287248 24.3961198  23.93274898 23.70855079
 24.07825433 23.65359313 24.25484566 23.64317717 24.76488834 23.20374044
 23.92272958 20.50193871 23.68601814 24.25786106 23.87204583 23.5488049
 24.17897276 23.58991295 23.89050979 23.92559141 24.45032611 23.95073334
 23.93769019 23.67816636 23.53280326 23.92845392 23.89015308 24.31987937
 23.87147597 24.09428092 24.00888329 23.27428453 24.23118978 24.11309039
 24.09145115 23.36653328 24.1710099  23.57955299 24.18591715 23.82505264
 23.48734179 24.24521612 24.55139989 23.57059097 24.4386742  23.59318275
 24.26521884 23.49389452 24.07861668 23.88986771 24.3213581  23.44047584
 23.776972   23.95912573 24.34459778 22.8357425  24.23948612 24.02604423
 23.85375264 23.9742756  23.8517613  23.73288636 24.36179705 24.05544781
 23.19230479 23.91815208 24.11207291 24.16808906 23.71290782 23.53176494
 23.4984491  24.15954967 24.21747291 24.23713614 23.79514757 23.56462008
 24.45159654 23.3416488  24.13236603 23.82604604 24.05826913 23.77315654
 23.63975379 23.85197465 23.74218363 24.45099867]",0.5190551036589132,2023-09-14 14:47:44.894212
