,Rank,Throughput,Throughputs,Uncert,Start
10,10,23.51126986432964,"[23.24952847 23.77725468 23.41344634 23.8131383  23.34491825 23.50542241
 23.39974962 22.04925804 23.69668246 23.58914781 23.45263886 23.68664932
 23.45257011 23.61442369 23.6874208  23.6661184  23.83456429 23.73105594
 23.82228575 23.63304964 23.60202269 23.32606338 23.71501664 23.49727578
 23.37636533 20.6193007  23.34594014 23.32837605 23.53758069 23.5452702
 23.65702052 23.7257071  23.66583836 23.70335254 23.37083378 23.62795423
 23.40947264 23.4977589  23.33511264 23.55990105 23.63193265 23.34280662
 23.41015767 23.48099947 23.42187779 23.32252723 23.53453399 23.73612549
 23.64827914 23.69099831 23.60529585 23.69815658 23.63535376 23.56392599
 23.40344616 23.4483082  23.63926482 23.7601649  23.5401433  23.65737031
 23.73859064 23.40707537 23.3841549  23.75621373 23.48603168 23.68258235
 23.80243975 23.24554267 23.82384648 23.52373839 23.40981515 23.3601196
 23.49375653 23.74556626 23.58629636 23.72859236 23.32524725 23.70187778
 23.63353835 23.55157796 23.52360005 23.54714138 23.70215867 23.32599536
 23.82703952 23.10095696 23.54166728 23.61895539 23.20522117 23.7818491
 23.65820984 23.51703074 23.41762703 23.65450234 23.73654805 23.54104381
 23.61783974 23.44013244 23.29861839 23.64709082]",0.36455983574312634,2023-09-14 14:53:10.679956
11,11,23.51103441628402,"[23.27902531 23.77421627 23.40515791 23.74352247 23.34423704 23.49665466
 23.48616958 22.02200549 23.69541908 23.57864953 23.4949295  23.65548157
 23.44707117 23.6144934  23.68812218 23.6974546  23.81087026 23.76870671
 23.81391804 23.62641906 23.61728195 23.27123791 23.73436499 23.52768179
 23.35493665 20.61175695 23.32191531 23.31029499 23.59088684 23.53619573
 23.69408566 23.66499828 23.64317717 23.74401577 23.41563931 23.62788445
 23.40009185 23.46206185 23.345327   23.55539198 23.63793771 23.32007975
 23.44617783 23.47693391 23.40618508 23.3567777  23.53093435 23.70082449
 23.64443499 23.66982955 23.6720708  23.68938479 23.59854161 23.61323876
 23.36762532 23.42853127 23.6428278  23.80916951 23.53633422 23.65813988
 23.74028132 23.40152929 23.3933177  23.70131602 23.48072379 23.7332384
 23.77407497 23.28254827 23.76701198 23.53571103 23.41077422 23.38039612
 23.49679269 23.7284516  23.61330846 23.63863617 23.37479437 23.69703343
 23.64143042 23.5867136  23.45779649 23.56850776 23.74930236 23.32653948
 23.79146778 23.06871594 23.60891827 23.62537247 23.19196862 23.75205233
 23.65723039 23.55837471 23.41659886 23.65813988 23.69913942 23.57573114
 23.61045117 23.42894294 23.28126091 23.62111728]",0.3650590763249124,2023-09-14 14:53:10.679956
12,12,23.511114066211544,"[23.27110253 23.80796495 23.390445   23.79833293 23.32109947 23.5488049
 23.41886097 22.0380211  23.69759499 23.58240281 23.47831191 23.65723039
 23.45621458 23.63619174 23.67270123 23.69836718 23.83357018 23.70981557
 23.86869829 23.63081577 23.55469843 23.30547358 23.69843738 23.53550331
 23.42414092 20.61350958 23.46749898 23.14272407 23.64094138 23.48334297
 23.7089021  23.64583272 23.69366461 23.7221191  23.36407656 23.65471217
 23.43148195 23.46894472 23.33422781 23.52636718 23.683003   23.31206108
 23.38306131 23.50369596 23.38073778 23.40556877 23.52595207 23.70356324
 23.64555316 23.70707538 23.62893126 23.69443655 23.55247934 23.63367799
 23.39051339 23.47755399 23.64317717 23.74817436 23.53439552 23.67648452
 23.65450234 23.43724823 23.4141316  23.76454093 23.45814041 23.65541162
 23.76164692 23.30880082 23.72296324 23.54963675 23.33899304 23.44583426
 23.48975553 23.76552929 23.57406381 23.69310323 23.30683152 23.71712584
 23.65023665 23.58205524 23.48279152 23.56906325 23.74253594 23.3033012
 23.81980319 23.08669052 23.52837375 23.62969899 23.19445652 23.74338153
 23.67431248 23.5569873  23.38203617 23.66464827 23.71051828 23.57524481
 23.58421037 23.43944566 23.29692219 23.67319159]",0.3659196458266314,2023-09-14 14:53:10.679837
13,13,23.510986717481984,"[23.28675013 23.78340453 23.36448598 23.82916869 23.35841443 23.4781741
 23.41838109 22.07523793 23.69759499 23.53875804 23.48713492 23.65100576
 23.49327358 23.62997817 23.64296755 23.74211317 23.83946504 23.69120878
 23.83435126 23.66870908 23.51578644 23.34321529 23.67809628 23.55643238
 23.39208646 20.63413867 23.4721122  23.14332662 23.6002124  23.48306724
 23.71150215 23.64331692 23.70405487 23.70995611 23.40700689 23.63416673
 23.46068576 23.4133093  23.33579331 23.57066042 23.65876957 23.29624377
 23.38347139 23.54416149 23.33041703 23.42050641 23.57059097 23.70117558
 23.61993168 23.68531688 23.62746575 23.7037037  23.55338079 23.63067616
 23.41975222 23.47796739 23.61707278 23.74225409 23.58567053 23.62048959
 23.66268838 23.44047584 23.44418526 23.76164692 23.46054816 23.63486497
 23.79061876 23.31036291 23.71178327 23.5567792  23.33592946 23.44500973
 23.50452462 23.71185356 23.60808223 23.65576136 23.32966863 23.69499799
 23.65093584 23.58657452 23.47886315 23.60056051 23.70412511 23.31009123
 23.81973227 23.1827613  23.48706597 23.65625102 23.20326934 23.70026278
 23.72345568 23.50383406 23.43196237 23.63172323 23.69450672 23.58073454
 23.58608775 23.42859988 23.32824    23.6407318 ]",0.3591786747172811,2023-09-14 14:53:10.679842
14,14,23.51148384154466,"[23.28783473 23.79139703 23.3912657  23.7935906  23.36073353 23.50632026
 23.41605053 22.05466801 23.69240155 23.57962249 23.46096096 23.66758872
 23.46323165 23.62976878 23.66877911 23.70721588 23.84529175 23.6750131
 23.88031188 23.63395727 23.55844408 23.3153902  23.67494303 23.54090527
 23.44143743 20.6052801  23.4657781  23.14285797 23.64066194 23.48872101
 23.72289289 23.64681123 23.6847559  23.68721039 23.38613728 23.65163507
 23.45305139 23.43155058 23.35336858 23.52588288 23.70510845 23.27706104
 23.39735434 23.51246896 23.37773154 23.39489114 23.53411859 23.69605076
 23.65149522 23.69829698 23.63926482 23.70995611 23.52844295 23.6440157
 23.3961911  23.45284512 23.66457827 23.73429457 23.56101124 23.65646088
 23.6692693  23.43869025 23.40063942 23.75762471 23.47183673 23.65925935
 23.75825971 23.31457482 23.71600089 23.52062612 23.42084924 23.39913365
 23.53813472 23.70665387 23.58080405 23.69247172 23.31661338 23.68945494
 23.64890831 23.58782632 23.48375658 23.56663318 23.74845635 23.29400529
 23.83612663 23.1360981  23.53155729 23.61086926 23.2130318  23.73239353
 23.67144041 23.53744219 23.41077422 23.64771992 23.70756716 23.59443525
 23.56781344 23.44040716 23.2993648  23.67550355]",0.3637681428492919,2023-09-14 14:53:10.679862
15,15,23.5114463461585,"[23.28952961 23.82590412 23.35820983 23.83300215 23.31946797 23.50984328
 23.41735284 22.07639537 23.69219105 23.5429836  23.48430808 23.65359313
 23.48658329 23.64408558 23.63116478 23.73915417 23.81299654 23.72964812
 23.83271815 23.63277038 23.58963471 23.30723894 23.6652083  23.57024375
 23.38196783 20.64809199 23.4259243  23.17819396 23.6398935  23.48906584
 23.71051828 23.64939768 23.69499799 23.66912924 23.39892833 23.6197922
 23.47693391 23.46027296 23.30024698 23.52671311 23.72718483 23.27062869
 23.41221298 23.48161976 23.41084273 23.40597964 23.52837375 23.69499799
 23.60647998 23.70574064 23.66716861 23.69794598 23.55178596 23.59701026
 23.39099213 23.49016936 23.62627951 23.7933783  23.50742541 23.66198849
 23.70588113 23.40776026 23.40358309 23.75621373 23.50086513 23.65667074
 23.75804804 23.30757846 23.74021087 23.49879422 23.42235781 23.36755707
 23.55830533 23.67963818 23.57864953 23.69099831 23.35752784 23.71234554
 23.6428278  23.54748792 23.52173261 23.52270088 23.78199049 23.271441
 23.85481957 23.11223591 23.56219093 23.58052602 23.19432203 23.74923186
 23.68153077 23.54139018 23.40111857 23.65177492 23.7476104  23.53356475
 23.62404692 23.41091124 23.28451347 23.68118027]",0.36160369460142117,2023-09-14 14:53:10.679798
16,16,23.511576976198658,"[23.28817368 23.79083101 23.39051339 23.78432375 23.36455422 23.51343646
 23.41522809 22.02831189 23.71332956 23.55580813 23.51011964 23.63954423
 23.4518826  23.6459725  23.66562834 23.71220497 23.8479218  23.69471726
 23.85517523 23.64792962 23.55310342 23.30839335 23.70812922 23.51316002
 23.4322369  20.61069489 23.47831191 23.12165459 23.65639092 23.48575589
 23.71832122 23.63758849 23.70019256 23.71065883 23.36516838 23.65394282
 23.43930831 23.45628335 23.32749174 23.53945065 23.68994599 23.3033012
 23.38265124 23.50141743 23.38859864 23.41125379 23.52595207 23.68924449
 23.64785972 23.70826974 23.62627951 23.70258003 23.54825036 23.63221189
 23.36510013 23.49651664 23.65625102 23.74514338 23.54533949 23.65967917
 23.6614986  23.45545809 23.39153928 23.75219337 23.46447039 23.67746556
 23.75325123 23.30914039 23.72296324 23.54291432 23.38846189 23.38230953
 23.55879096 23.71494634 23.5669803  23.69857779 23.30547358 23.71754772
 23.64820924 23.58518379 23.4723188  23.57010486 23.74267687 23.30818962
 23.82725242 23.14292492 23.51903572 23.62453526 23.18813695 23.74944337
 23.67179062 23.54755724 23.40036563 23.66065883 23.70735639 23.57760717
 23.58740904 23.43532582 23.29359834 23.67634437]",0.36550108579209,2023-09-14 14:53:10.679806
17,17,23.511353891713792,"[23.26352338 23.80010294 23.41584492 23.7601649  23.40125548 23.47521164
 23.4561458  22.00867692 23.70475725 23.60292794 23.47948333 23.6171425
 23.45580194 23.64226883 23.70482749 23.70925343 23.83910985 23.69282256
 23.87033633 23.61693334 23.53467246 23.30907247 23.73542126 23.53190338
 23.39687535 20.62802007 23.48679015 23.13449237 23.60292794 23.51993461
 23.67270123 23.68293289 23.70307162 23.71016692 23.36155214 23.65946926
 23.39755963 23.46529629 23.33252642 23.529827   23.73274555 23.25919465
 23.38251456 23.51792948 23.37247249 23.40618508 23.56503656 23.66359829
 23.67480291 23.66233843 23.63654091 23.71192384 23.53605724 23.67578382
 23.35800523 23.4634381  23.66485828 23.73267515 23.54942878 23.66513829
 23.69324358 23.44521586 23.36646503 23.80676052 23.41796978 23.66632844
 23.78418233 23.28268379 23.75064201 23.5097051  23.3833347  23.40940414
 23.54776517 23.73675934 23.57732922 23.6584897  23.30506623 23.75656646
 23.64667144 23.58198572 23.4521576  23.5656613  23.77605335 23.31430303
 23.77598269 23.18208952 23.52235506 23.58448848 23.19264098 23.75205233
 23.67893729 23.53474169 23.38435996 23.7079887  23.71325927 23.58136011
 23.54312217 23.43985772 23.31505045 23.64988707]",0.3661443818021833,2023-09-14 14:53:10.679852
18,18,23.511275850032163,"[23.28932621 23.69703343 23.3849068  23.8457182  23.26771837 23.50632026
 23.49893227 21.98931869 23.70967503 23.6459725  23.39844927 23.71487605
 23.44741478 23.64876849 23.61574816 23.72408885 23.89514809 23.64066194
 23.89414892 23.59137381 23.56920212 23.36974144 23.72451098 23.52263171
 23.41241853 20.61356269 23.42736492 23.20939516 23.58657452 23.44762095
 23.77732535 23.6589095  23.68244213 23.6443651  23.43230553 23.60501725
 23.42407233 23.52214757 23.32470319 23.55566941 23.63367799 23.32776383
 23.37684348 23.54374575 23.40358309 23.36107461 23.51709987 23.71311869
 23.64226883 23.71164271 23.58699177 23.76905981 23.53751144 23.64960742
 23.3167493  23.55268736 23.62983858 23.69752479 23.52609043 23.73929506
 23.70707538 23.40967815 23.29712572 23.76891857 23.46922012 23.7395064
 23.70574064 23.33967394 23.73802713 23.5262288  23.41838109 23.3686492
 23.49644763 23.76030603 23.56885494 23.69120878 23.32905634 23.71262668
 23.62216349 23.5937394  23.51578644 23.56073368 23.66366828 23.35466393
 23.82278232 23.05641617 23.60620135 23.63235151 23.19869391 23.75191129
 23.61602702 23.54762655 23.42448386 23.69015644 23.74880885 23.53681894
 23.51440404 23.44281126 23.3514599  23.67739549]",0.36829399312370326,2023-09-14 14:53:10.679866
19,19,23.511231147881027,"[23.29237757 23.75981206 23.39947585 23.76807116 23.34069538 23.51620119
 23.4281196  22.04075335 23.7160712  23.621745   23.42235781 23.63507445
 23.4587595  23.64660154 23.66814888 23.71375131 23.85097908 23.70911289
 23.83712095 23.64101124 23.54450795 23.33436393 23.7284516  23.52304671
 23.40789724 20.61011081 23.49016936 23.15270366 23.61804891 23.46667292
 23.72605892 23.66121867 23.65786003 23.7226115  23.40105012 23.62600041
 23.42393516 23.47955224 23.32116746 23.57100766 23.63346854 23.31790465
 23.44315475 23.47452281 23.39708063 23.36032424 23.52353088 23.71108048
 23.63291001 23.73084476 23.63172323 23.70834    23.58956516 23.59283486
 23.36953664 23.50728726 23.63297982 23.75452078 23.51530258 23.67725533
 23.71726647 23.4186553  23.35343675 23.77753736 23.45545809 23.68047929
 23.70848052 23.33715479 23.73626634 23.52844295 23.41214446 23.37691179
 23.54762655 23.70328231 23.59387857 23.65744026 23.34158069 23.68959523
 23.64925786 23.58622682 23.51606294 23.54755724 23.73302718 23.3315057
 23.79182156 23.11417245 23.55247934 23.61309937 23.22516214 23.72964812
 23.67066997 23.54637901 23.41515956 23.62097779 23.78326312 23.54471583
 23.56989653 23.4480333  23.28363248 23.67788604]",0.3635963841008713,2023-09-14 14:53:10.679872
